run,strategy,product,trade_count,volume,buy_volume,sell_volume,outside_volume,outside_trade_count,taker_like_volume,avg_fill_mid_edge,avg_outside_distance,markout_1,adverse_rate_1,markout_2,adverse_rate_2,markout_5,adverse_rate_5,markout_10,adverse_rate_10,markout_50,adverse_rate_50,markout_100,adverse_rate_100
00A,basket_all_far_quotes,HYDROGEL_PACK,20,35,13,22,0,0,0,6.771428571428571,,6.914285714285715,0.05714285714285714,6.757142857142857,0.05714285714285714,6.1571428571428575,0.05714285714285714,6.771428571428571,0.05714285714285714,3.9242424242424243,0.42424242424242425,6.580645161290323,0.5483870967741935
00A,basket_all_far_quotes,VELVETFRUIT_EXTRACT,65,134,68,66,0,0,21,1.085820895522388,,0.8805970149253731,0.23134328358208955,0.7388059701492538,0.2835820895522388,0.667910447761194,0.35074626865671643,0.8384615384615385,0.4153846153846154,1.6024590163934427,0.36065573770491804,3.2198275862068964,0.3620689655172414
00A,basket_all_far_quotes,VEV_6000,21,21,21,0,0,0,21,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
00A,basket_all_far_quotes,VEV_6500,21,21,21,0,0,0,21,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
00B,basket_all_gap_flow_follow,HYDROGEL_PACK,20,35,13,22,0,0,0,6.771428571428571,,6.914285714285715,0.05714285714285714,6.757142857142857,0.05714285714285714,6.1571428571428575,0.05714285714285714,6.771428571428571,0.05714285714285714,3.9242424242424243,0.42424242424242425,6.580645161290323,0.5483870967741935
00B,basket_all_gap_flow_follow,VELVETFRUIT_EXTRACT,548,623,298,325,0,0,516,-1.8459069020866774,,-1.9204180064308682,0.8472668810289389,-1.9412238325281803,0.8421900161030595,-1.9449838187702266,0.7880258899676376,-1.9311475409836065,0.719672131147541,-1.7610229276895943,0.6049382716049383,-1.6395131086142323,0.5374531835205992
00B,basket_all_gap_flow_follow,VEV_4000,288,288,151,137,0,0,288,-10.06423611111111,,-9.550347222222221,0.9826388888888888,-9.609375,0.9756944444444444,-9.524390243902438,0.9512195121951219,-9.561188811188812,0.965034965034965,-9.291666666666666,0.8731884057971014,-10.035714285714286,0.849624060150376
00B,basket_all_gap_flow_follow,VEV_4500,21,21,10,11,0,0,21,-4.095238095238095,,-0.47619047619047616,0.5714285714285714,-0.40476190476190477,0.5714285714285714,0.09523809523809523,0.38095238095238093,0.07142857142857142,0.5238095238095238,1.0952380952380953,0.3333333333333333,0.7380952380952381,0.38095238095238093
00B,basket_all_gap_flow_follow,VEV_5000,20,20,10,10,0,0,20,-1.475,,-0.3,0.45,-0.1,0.6,0.325,0.35,0.3,0.45,0.825,0.35,0.55,0.4
00B,basket_all_gap_flow_follow,VEV_5100,6,6,6,0,0,0,6,-0.75,,0.5833333333333334,0.0,1.0,0.16666666666666666,1.3333333333333333,0.0,1.25,0.3333333333333333,3.3333333333333335,0.3333333333333333,3.0,0.3333333333333333
00B,basket_all_gap_flow_follow,VEV_5300,36,36,24,12,0,0,36,-1.0833333333333333,,-1.1388888888888888,0.9444444444444444,-1.2222222222222223,0.8888888888888888,-1.1666666666666667,0.7777777777777778,-1.1805555555555556,0.6944444444444444,-1.1470588235294117,0.5294117647058824,-1.0483870967741935,0.4838709677419355
00B,basket_all_gap_flow_follow,VEV_5400,37,37,10,27,0,0,37,-0.7432432432432432,,-0.7162162162162162,0.8918918918918919,-0.6756756756756757,0.918918918918919,-0.581081081081081,0.7837837837837838,-0.6081081081081081,0.7837837837837838,-0.2714285714285714,0.5714285714285714,0.234375,0.34375
00B,basket_all_gap_flow_follow,VEV_5500,39,39,7,32,0,0,39,-0.6025641025641025,,-0.6153846153846154,1.0,-0.6710526315789473,1.0,-0.6578947368421053,0.9210526315789473,-0.6578947368421053,0.9210526315789473,-0.5138888888888888,0.8055555555555556,-0.23529411764705882,0.6176470588235294
00B,basket_all_gap_flow_follow,VEV_6000,30,30,0,30,0,0,30,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
00B,basket_all_gap_flow_follow,VEV_6500,30,30,0,30,0,0,30,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
00C,basket_all_options_flow_fade,VEV_4000,35,35,12,23,0,0,35,-10.385714285714286,,-10.528571428571428,1.0,-10.714285714285714,1.0,-11.411764705882353,1.0,-10.529411764705882,1.0,-10.28125,0.9375,-7.375,0.84375
00C,basket_all_options_flow_fade,VEV_5300,36,36,12,24,0,0,36,-1.0833333333333333,,-1.0277777777777777,0.8888888888888888,-0.9444444444444444,0.7222222222222222,-1.0,0.7777777777777778,-0.9861111111111112,0.6388888888888888,-1.0294117647058822,0.6764705882352942,-1.1451612903225807,0.6129032258064516
00C,basket_all_options_flow_fade,VEV_5400,37,37,27,10,0,0,37,-0.7432432432432432,,-0.7702702702702703,0.972972972972973,-0.8108108108108109,0.9459459459459459,-0.9054054054054054,0.8108108108108109,-0.8783783783783784,0.8378378378378378,-1.1857142857142857,0.8571428571428571,-1.734375,0.9375
00C,basket_all_options_flow_fade,VEV_5500,39,39,32,7,0,0,39,-0.6025641025641025,,-0.5897435897435898,0.9743589743589743,-0.5394736842105263,0.9210526315789473,-0.5526315789473685,0.8421052631578947,-0.5526315789473685,0.8157894736842105,-0.7083333333333334,0.8055555555555556,-0.9705882352941176,0.8529411764705882
00C,basket_all_options_flow_fade,VEV_6000,30,30,30,0,0,0,30,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
00C,basket_all_options_flow_fade,VEV_6500,30,30,30,0,0,0,30,-0.5,,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0
01,passive_skew_signal,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
01,passive_skew_signal,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
01,passive_skew_signal,VEV_5000,1,1,1,0,0,0,0,2.0,,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,,
01,passive_skew_signal,VEV_5100,1,1,1,0,0,0,0,1.5,,0.5,0.0,0.5,0.0,0.0,0.0,-0.5,1.0,,,,
01,passive_skew_signal,VEV_5200,1,1,1,0,0,0,0,0.5,,0.5,0.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,,,,
02,skew_taker_toxicity,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
02,skew_taker_toxicity,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
02,skew_taker_toxicity,VEV_4500,1,5,5,0,0,0,5,-4.0,,0.0,0.0,1.5,0.0,2.5,0.0,-1.0,1.0,-10.0,1.0,-10.0,1.0
02,skew_taker_toxicity,VEV_5000,14,70,65,5,0,0,65,-2.4714285714285715,,-2.75,0.9285714285714286,-2.9214285714285713,0.9285714285714286,-2.407142857142857,0.8,-0.4642857142857143,0.4,5.964285714285714,0.07142857142857142,-3.6785714285714284,0.9285714285714286
02,skew_taker_toxicity,VEV_5100,57,382,221,161,0,0,377,-2.1335078534031413,,-1.943717277486911,0.9659685863874345,-2.00130890052356,0.8507853403141361,-1.993455497382199,0.7853403141361257,-1.4882198952879582,0.6884816753926701,-0.4790575916230366,0.6020942408376964,-2.256544502617801,0.6308900523560209
02,skew_taker_toxicity,VEV_5200,57,380,220,160,0,0,375,-1.4394736842105262,,-1.3381578947368422,0.968421052631579,-1.2486842105263158,0.8631578947368421,-1.25,0.7789473684210526,-0.8736842105263158,0.6473684210526316,-0.2578947368421053,0.6078947368421053,-1.5092105263157896,0.6
03,dyn_skew_auto,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
03,dyn_skew_auto,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
03,dyn_skew_auto,VEV_4500,14,46,46,0,0,0,37,-1.7391304347826086,,1.4891304347826086,0.2826086956521739,1.673913043478261,0.2608695652173913,2.0760869565217392,0.15217391304347827,1.8043478260869565,0.4782608695652174,4.288888888888889,0.26666666666666666,1.6666666666666667,0.3333333333333333
03,dyn_skew_auto,VEV_5000,5,14,14,0,0,0,5,1.0357142857142858,,1.6428571428571428,0.0,2.5714285714285716,0.0,3.25,0.14285714285714285,2.5357142857142856,0.5,-1.4230769230769231,0.5384615384615384,-5.769230769230769,0.7692307692307693
03,dyn_skew_auto,VEV_5100,4,9,9,0,0,0,0,1.3333333333333333,,1.6111111111111112,0.0,1.6666666666666667,0.2222222222222222,2.2777777777777777,0.2222222222222222,3.0555555555555554,0.3333333333333333,3.0,0.625,-4.125,0.625
03,dyn_skew_auto,VEV_5200,4,9,9,0,0,0,0,0.5,,0.5,0.3333333333333333,0.6111111111111112,0.3333333333333333,1.2777777777777777,0.3333333333333333,1.8333333333333333,0.3333333333333333,1.625,0.625,-3.6875,0.625
04,dyn_skew_follow,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
04,dyn_skew_follow,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
04,dyn_skew_follow,VEV_4500,14,46,46,0,0,0,37,-1.7391304347826086,,1.4891304347826086,0.2826086956521739,1.673913043478261,0.2608695652173913,2.0760869565217392,0.15217391304347827,1.8043478260869565,0.4782608695652174,4.288888888888889,0.26666666666666666,1.6666666666666667,0.3333333333333333
04,dyn_skew_follow,VEV_5000,5,14,14,0,0,0,5,1.0357142857142858,,1.6428571428571428,0.0,2.5714285714285716,0.0,3.25,0.14285714285714285,2.5357142857142856,0.5,-1.4230769230769231,0.5384615384615384,-5.769230769230769,0.7692307692307693
04,dyn_skew_follow,VEV_5100,4,9,9,0,0,0,0,1.3333333333333333,,1.6111111111111112,0.0,1.6666666666666667,0.2222222222222222,2.2777777777777777,0.2222222222222222,3.0555555555555554,0.3333333333333333,3.0,0.625,-4.125,0.625
04,dyn_skew_follow,VEV_5200,4,9,9,0,0,0,0,0.5,,0.5,0.3333333333333333,0.6111111111111112,0.3333333333333333,1.2777777777777777,0.3333333333333333,1.8333333333333333,0.3333333333333333,1.625,0.625,-3.6875,0.625
05,dyn_skew_fade,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
05,dyn_skew_fade,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
05,dyn_skew_fade,VEV_4500,14,46,46,0,0,0,37,-1.7391304347826086,,1.4891304347826086,0.2826086956521739,1.673913043478261,0.2608695652173913,2.0760869565217392,0.15217391304347827,1.8043478260869565,0.4782608695652174,4.288888888888889,0.26666666666666666,1.6666666666666667,0.3333333333333333
