day,K,timestamp,residual_bp,z,direction
1,6000,600,6.3,2.01,rich
1,4000,3000,27.6,2.42,rich
1,4500,3000,-68.3,-2.33,cheap
1,5300,3000,11.2,2.15,rich
1,5400,3000,-1.4,2.65,cheap
1,5500,3000,3.1,2.78,rich
1,6500,3000,-10.3,-2.5,cheap
1,4000,3200,27.8,2.43,rich
1,4500,3200,-68.8,-2.34,cheap
1,5300,3200,10.6,2.07,rich
1,5400,3200,-1.7,2.6,cheap
1,5500,3200,3.9,2.88,rich
1,6500,3200,-10.2,-2.49,cheap
1,4000,5100,27.8,2.43,rich
1,4500,5100,-68.7,-2.34,cheap
1,5200,5100,15.0,2.13,rich
1,5400,5100,-1.2,2.66,cheap
1,5500,5100,4.2,2.92,rich
1,6500,5100,-10.3,-2.5,cheap
1,5500,5200,-0.9,2.29,cheap
1,5500,5400,-1.3,2.25,cheap
1,4000,5600,27.9,2.43,rich
1,4500,5600,-68.9,-2.34,cheap
1,5300,5600,10.4,2.05,rich
1,5400,5600,-0.6,2.75,cheap
1,5500,5600,3.7,2.86,rich
1,6500,5600,-10.2,-2.5,cheap
1,4000,5700,27.8,2.43,rich
1,4500,5700,-68.6,-2.34,cheap
1,5300,5700,10.5,2.06,rich
1,5400,5700,-1.1,2.68,cheap
1,5500,5700,4.4,2.94,rich
1,6500,5700,-10.4,-2.51,cheap
1,4000,6700,27.7,2.42,rich
1,4500,6700,-68.4,-2.33,cheap
1,5300,6700,11.2,2.15,rich
1,5400,6700,-1.4,2.65,cheap
1,5500,6700,3.1,2.78,rich
1,6500,6700,-10.3,-2.5,cheap
1,5000,7500,-13.1,-2.24,cheap
1,5500,7500,1.0,2.52,rich
1,6000,7500,10.9,2.79,rich
1,4000,7600,27.5,2.42,rich
1,4500,7600,-67.9,-2.32,cheap
1,5200,7600,14.7,2.1,rich
1,5300,7600,10.3,2.03,rich
1,5400,7600,-0.8,2.73,cheap
1,5500,7600,2.3,2.69,rich
1,6500,7600,-10.4,-2.51,cheap
1,4000,7800,27.5,2.41,rich
1,4500,7800,-67.8,-2.32,cheap
1,5300,7800,10.9,2.12,rich
1,5400,7800,-0.9,2.71,cheap
1,5500,7800,2.3,2.69,rich
1,6500,7800,-10.4,-2.51,cheap
1,5500,8200,-2.1,2.15,cheap
1,6000,8200,7.0,2.12,rich
1,4000,9100,27.5,2.42,rich
1,4500,9100,-67.9,-2.32,cheap
1,5200,9100,14.7,2.1,rich
1,5300,9100,10.3,2.03,rich
1,5400,9100,-0.8,2.73,cheap
1,5500,9100,2.3,2.69,rich
1,6500,9100,-10.4,-2.51,cheap
1,5500,9400,-2.0,2.15,cheap
1,6000,9400,6.9,2.11,rich
1,5500,9500,-3.0,2.03,cheap
1,6000,9500,7.0,2.12,rich
1,4000,9700,27.4,2.41,rich
1,4500,9700,-68.0,-2.32,cheap
1,5300,9700,10.9,2.11,rich
1,5400,9700,-1.8,2.59,cheap
1,5500,9700,2.5,2.71,rich
1,6500,9700,-10.3,-2.5,cheap
1,5500,10300,-1.5,2.22,cheap
1,6000,10300,6.9,2.11,rich
1,5500,10400,-0.8,2.31,cheap
1,6000,10400,7.0,2.13,rich
1,5500,16300,-3.0,2.03,cheap
1,6000,16300,7.3,2.18,rich
1,5500,17100,-3.1,2.02,cheap
1,6000,17100,8.0,2.29,rich
1,5500,17400,-2.9,2.05,cheap
1,6000,17400,8.0,2.3,rich
1,5500,17800,-2.3,2.12,cheap
1,6000,17800,7.2,2.15,rich
1,6000,18700,6.7,2.08,rich
1,5500,21700,-3.0,2.04,cheap
1,6000,21700,6.3,2.01,rich
1,5500,23400,-2.5,2.1,cheap
1,6000,23400,7.5,2.22,rich
1,6000,24100,8.2,2.32,rich
1,6000,25400,7.3,2.18,rich
1,6000,27800,7.3,2.18,rich
1,5000,30900,-12.6,-2.18,cheap
1,5500,30900,0.5,2.47,rich
1,6000,30900,11.9,2.97,rich
1,6000,31200,7.3,2.17,rich
1,6000,32400,6.8,2.1,rich
1,6000,32800,7.9,2.29,rich
1,6000,34100,8.2,2.33,rich
1,6000,36300,7.6,2.23,rich
1,6000,36600,7.3,2.18,rich
1,6000,39400,7.5,2.2,rich
1,6000,41600,8.3,2.35,rich
1,6000,45400,7.0,2.12,rich
1,5500,45600,-3.1,2.02,cheap
1,6000,45600,6.6,2.06,rich
1,5500,46400,-2.0,2.16,cheap
1,4000,46600,27.5,2.41,rich
1,4500,46600,-68.4,-2.33,cheap
1,5300,46600,10.4,2.04,rich
1,5400,46600,-2.1,2.55,cheap
1,5500,46600,2.4,2.69,rich
1,6500,46600,-10.2,-2.5,cheap
1,6000,46700,6.4,2.02,rich
1,4000,47400,27.5,2.42,rich
1,4500,47400,-68.0,-2.32,cheap
1,5300,47400,10.9,2.11,rich
1,5400,47400,-1.6,2.61,cheap
1,5500,47400,2.8,2.75,rich
1,6500,47400,-10.5,-2.52,cheap
1,6000,47700,6.6,2.06,rich
1,5000,48900,-13.2,-2.25,cheap
1,5500,48900,1.3,2.57,rich
1,6000,48900,11.1,2.84,rich
1,4000,50300,27.5,2.42,rich
1,4500,50300,-67.9,-2.32,cheap
1,5300,50300,11.1,2.14,rich
1,5400,50300,-1.4,2.64,cheap
1,5500,50300,3.0,2.77,rich
1,6500,50300,-10.6,-2.53,cheap
1,5500,52700,-2.2,2.14,cheap
1,6000,52700,7.8,2.26,rich
1,5500,53800,-1.3,2.25,cheap
1,6000,53800,7.2,2.16,rich
1,4000,56700,27.6,2.42,rich
1,4500,56700,-67.9,-2.32,cheap
1,5300,56700,11.1,2.14,rich
1,5400,56700,-1.4,2.64,cheap
1,5500,56700,3.0,2.77,rich
1,6500,56700,-10.6,-2.53,cheap
1,4000,57000,27.5,2.42,rich
1,4500,57000,-68.1,-2.33,cheap
1,5200,57000,14.4,2.04,rich
1,5300,57000,10.4,2.04,rich
1,5400,57000,-1.9,2.58,cheap
1,5500,57000,2.7,2.73,rich
1,6500,57000,-10.5,-2.52,cheap
1,4000,59200,27.5,2.42,rich
1,4500,59200,-68.1,-2.33,cheap
1,5200,59200,14.4,2.04,rich
1,5300,59200,10.4,2.04,rich
1,5400,59200,-1.9,2.58,cheap
1,5500,59200,2.7,2.73,rich
1,6500,59200,-10.5,-2.52,cheap
1,4000,61900,27.6,2.42,rich
1,4500,61900,-67.7,-2.32,cheap
1,5300,61900,10.6,2.07,rich
1,5400,61900,-1.9,2.58,cheap
1,5500,61900,3.7,2.85,rich
1,6500,61900,-10.7,-2.55,cheap
1,6000,64900,7.0,2.12,rich
1,4000,66400,27.3,2.41,rich
1,4500,66400,-68.1,-2.33,cheap
1,5400,66400,-1.3,2.65,cheap
1,5500,66400,1.7,2.62,rich
1,6500,66400,-10.4,-2.51,cheap
1,5500,66900,-3.1,2.03,cheap
1,6000,66900,6.8,2.09,rich
1,5500,67300,-2.3,2.13,cheap
1,6000,67300,7.0,2.12,rich
1,4000,68800,27.6,2.42,rich
1,4500,68800,-68.1,-2.33,cheap
1,5200,68800,14.6,2.08,rich
1,5400,68800,-1.2,2.67,cheap
1,5500,68800,3.1,2.79,rich
1,6500,68800,-10.6,-2.53,cheap
1,6000,71600,7.5,2.2,rich
1,6000,71800,7.5,2.2,rich
1,5500,73400,-2.8,2.06,cheap
1,6000,73400,8.2,2.33,rich
1,6000,75500,7.5,2.2,rich
1,5500,76500,-3.2,2.02,cheap
1,6000,76500,7.1,2.15,rich
1,6000,78400,7.5,2.21,rich
1,6000,78600,7.3,2.18,rich
1,5500,84600,-2.7,2.08,cheap
1,6000,84600,8.5,2.38,rich
1,6000,88500,7.2,2.16,rich
1,4000,89000,27.5,2.42,rich
1,4500,89000,-67.6,-2.32,cheap
1,5300,89000,11.9,2.25,rich
1,5400,89000,-0.9,2.71,cheap
1,5500,89000,2.2,2.67,rich
1,6500,89000,-10.9,-2.56,cheap
1,6000,89200,8.1,2.31,rich
1,6000,90900,7.1,2.14,rich
1,4000,93100,27.5,2.41,rich
1,4500,93100,-67.8,-2.32,cheap
1,5200,93100,14.6,2.08,rich
1,5300,93100,11.2,2.15,rich
1,5400,93100,-1.4,2.65,cheap
1,5500,93100,1.9,2.63,rich
1,6500,93100,-10.7,-2.54,cheap
1,5500,94900,-2.9,2.05,cheap
1,6000,94900,6.9,2.11,rich
1,6000,95900,8.3,2.35,rich
1,5500,98400,-2.8,2.07,cheap
1,6000,98400,6.6,2.06,rich
1,4000,99000,27.7,2.43,rich
1,4500,99000,-68.2,-2.33,cheap
1,5300,99000,11.4,2.18,rich
1,5400,99000,-1.2,2.66,cheap
1,5500,99000,3.2,2.79,rich
1,6500,99000,-10.8,-2.55,cheap
1,6000,99300,6.8,2.09,rich
1,4000,100200,27.7,2.42,rich
1,4500,100200,-68.3,-2.33,cheap
1,5300,100200,10.2,2.02,rich
1,5400,100200,-0.5,2.76,cheap
1,5500,100200,2.8,2.74,rich
1,6500,100200,-10.7,-2.54,cheap
1,4000,100600,27.7,2.42,rich
1,4500,100600,-68.1,-2.33,cheap
1,5300,100600,10.6,2.06,rich
1,5400,100600,-1.1,2.68,cheap
1,5500,100600,3.3,2.81,rich
1,6500,100600,-10.8,-2.55,cheap
1,4000,102700,27.6,2.42,rich
1,4500,102700,-68.2,-2.33,cheap
1,5300,102700,10.9,2.12,rich
1,5400,102700,-1.4,2.64,cheap
1,5500,102700,3.1,2.79,rich
1,6500,102700,-10.7,-2.54,cheap
1,4000,106400,28.2,2.45,rich
1,4500,106400,-69.2,-2.35,cheap
1,5200,106400,14.4,2.05,rich
1,5300,106400,11.0,2.12,rich
1,5400,106400,-0.2,2.8,cheap
1,5500,106400,3.5,2.84,rich
1,6500,106400,-10.6,-2.53,cheap
1,5000,108400,-14.2,-2.36,cheap
1,5400,108400,-5.2,2.14,cheap
1,5500,108400,1.9,2.63,rich
1,6000,108400,9.9,2.62,rich
1,5500,109000,-1.2,2.26,cheap
1,5500,110100,-2.6,2.08,cheap
1,4000,112800,28.1,2.44,rich
1,4500,112800,-69.3,-2.35,cheap
1,5200,112800,14.1,2.0,rich
1,5300,112800,10.6,2.07,rich
1,5400,112800,0.4,2.87,rich
1,5500,112800,3.1,2.78,rich
1,6500,112800,-10.5,-2.53,cheap
1,5500,113000,-1.9,2.18,cheap
1,6000,113900,6.4,2.02,rich
1,4000,115900,28.3,2.45,rich
1,4500,115900,-69.3,-2.35,cheap
1,5200,115900,15.5,2.21,rich
1,5300,115900,10.6,2.07,rich
1,5400,115900,0.1,2.84,rich
1,5500,115900,3.7,2.86,rich
1,6500,115900,-10.7,-2.54,cheap
1,4000,117100,28.1,2.44,rich
1,4500,117100,-68.8,-2.34,cheap
1,5200,117100,15.5,2.2,rich
1,5300,117100,11.2,2.15,rich
1,5400,117100,0.5,2.89,rich
1,5500,117100,2.9,2.75,rich
1,6500,117100,-10.8,-2.55,cheap
1,4000,119800,28.2,2.45,rich
1,4500,119800,-69.2,-2.35,cheap
