day,K,timestamp,residual_bp,z,direction
2,5000,600,-16.8,-2.66,cheap
2,5400,600,-7.6,2.05,cheap
2,5500,600,-1.2,2.47,cheap
2,6000,600,15.0,2.6,rich
2,5000,7000,-10.3,-2.02,cheap
2,5500,7000,-4.6,2.08,cheap
2,5000,7800,-17.3,-2.71,cheap
2,5500,7800,0.2,2.63,rich
2,6000,7800,14.2,2.48,rich
2,5000,19100,-17.1,-2.69,cheap
2,5400,19100,-8.0,2.01,cheap
2,5500,19100,-0.8,2.51,cheap
2,6000,19100,14.8,2.57,rich
2,5000,24600,-15.3,-2.51,cheap
2,5500,24600,-2.7,2.3,cheap
2,6000,24600,16.0,2.75,rich
2,5000,30300,-17.4,-2.72,cheap
2,5500,30300,-1.6,2.43,cheap
2,6000,30300,15.3,2.65,rich
2,5500,33100,-4.4,2.1,cheap
2,5000,35200,-16.7,-2.65,cheap
2,5400,35200,-7.8,2.02,cheap
2,5500,35200,-3.4,2.22,cheap
2,6000,35200,14.9,2.6,rich
2,5000,39300,-17.2,-2.7,cheap
2,5500,39300,-1.4,2.45,cheap
2,6000,39300,15.7,2.7,rich
2,5000,39800,-15.7,-2.55,cheap
2,5500,39800,-1.5,2.44,cheap
2,6000,39800,15.3,2.65,rich
2,4000,41400,27.7,2.44,rich
2,4500,41400,-67.7,-2.31,cheap
2,5200,41400,15.1,2.19,rich
2,5300,41400,13.7,2.7,rich
2,5400,41400,-2.1,2.76,cheap
2,5500,41400,-1.1,2.48,cheap
2,6500,41400,-12.3,-2.65,cheap
2,4000,41800,27.6,2.43,rich
2,4500,41800,-67.4,-2.31,cheap
2,5200,41800,14.6,2.11,rich
2,5300,41800,14.7,2.84,rich
2,5400,41800,-2.9,2.65,cheap
2,5500,41800,-0.6,2.54,cheap
2,6500,41800,-12.4,-2.66,cheap
2,4000,42100,27.6,2.43,rich
2,4500,42100,-67.2,-2.3,cheap
2,5200,42100,13.9,2.03,rich
2,5300,42100,14.6,2.83,rich
2,5400,42100,-2.3,2.73,cheap
2,5500,42100,-0.1,2.6,cheap
2,6500,42100,-12.6,-2.68,cheap
2,4000,44800,28.0,2.45,rich
2,4500,44800,-68.1,-2.32,cheap
2,5200,44800,15.1,2.19,rich
2,5300,44800,14.1,2.77,rich
2,5400,44800,-1.3,2.86,cheap
2,5500,44800,0.1,2.62,rich
2,6500,44800,-12.5,-2.67,cheap
2,6000,44900,11.3,2.06,rich
2,6000,48400,11.2,2.05,rich
2,4000,48900,28.0,2.45,rich
2,4500,48900,-68.0,-2.32,cheap
2,5200,48900,15.3,2.22,rich
2,5300,48900,14.3,2.8,rich
2,5400,48900,-2.5,2.7,cheap
2,5500,48900,0.3,2.64,rich
2,6500,48900,-12.5,-2.67,cheap
2,6000,49000,11.4,2.07,rich
2,5500,54500,-5.1,2.02,cheap
2,6000,55400,11.0,2.02,rich
2,6000,55800,11.9,2.14,rich
2,6000,56600,11.8,2.13,rich
2,4000,56700,27.6,2.43,rich
2,4500,56700,-67.3,-2.3,cheap
2,5200,56700,15.2,2.2,rich
2,5300,56700,13.8,2.72,rich
2,5400,56700,-3.6,2.56,cheap
2,5500,56700,0.1,2.62,rich
2,6500,56700,-12.5,-2.67,cheap
2,4000,58200,27.7,2.44,rich
2,4500,58200,-67.4,-2.31,cheap
