a,b,n,pearson,spearman,kendall,lambda_L@q=0.01,lambda_L@q=0.025,lambda_L@q=0.05,lambda_L@q=0.1,lambda_U@q=0.01,lambda_U@q=0.025,lambda_U@q=0.05,lambda_U@q=0.1,clayton_implied_lL,gumbel_implied_lU,asymmetry_q05
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,29999,-0.9151935656234247,-0.9112374490524521,-0.7712707872322548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,29999,0.02466632569920927,0.021637245447515507,0.014462904440572466,0.016666666666666666,0.036,0.062,0.10733333333333334,0.02666666666666667,0.032,0.06066666666666667,0.115,5.54046251237167e-11,0.01994967881329579,0.0013333333333333322
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,29999,0.01702387912579633,0.014851323032567953,0.00989506758392529,0.013333333333333334,0.03333333333333333,0.066,0.10333333333333333,0.013333333333333334,0.032,0.056666666666666664,0.11,8.697637911436331e-16,0.01367054147092528,0.00933333333333334
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,29999,0.030762074621103683,0.027383331751607374,0.0183268522859264,0.03,0.036,0.05533333333333333,0.11266666666666666,0.0033333333333333335,0.02266666666666667,0.058666666666666666,0.10966666666666666,8.663685929499107e-09,0.02524572168561723,-0.003333333333333334
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,29999,0.039995704426277166,0.0361586287431366,0.024201263642512804,0.013333333333333334,0.036,0.058,0.111,0.02,0.04,0.06666666666666667,0.116,8.535161425113302e-07,0.03327024036335535,-0.008666666666666663
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,29999,0.030704018040804665,0.029100525335192882,0.019483304458541097,0.01,0.024,0.05266666666666667,0.11133333333333334,0.006666666666666667,0.034666666666666665,0.066,0.109,2.6618456753678717e-08,0.026828033785174732,-0.013333333333333336
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,29999,0.014456039313408237,0.013229104369772388,0.008800510992092853,0.013333333333333334,0.024,0.06133333333333333,0.11,0.013333333333333334,0.028,0.048,0.11066666666666666,1.1156580290812782e-17,0.01216296370777914,0.013333333333333329
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,29999,0.9125588756274724,0.9059439829248086,0.7342576023701473,0.5066666666666667,0.6341789052069426,0.6686666666666666,0.7006666666666667,0.5066666666666667,0.604,0.65,0.6982327442480827,0.8821158696924054,0.7977454404621516,0.01866666666666661
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,29999,-0.8306674984443155,-0.8230948279090374,-0.6382986843010692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,29999,-0.9231702761680852,-0.9189307898511901,-0.7700897481110789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
