variant,bt_pnl,n_active,live_3d_x30,ev_50_50
v200_optimal_p50,370032,27,1691345.625,1030688.8125
v203_optimal_p60,362788,26,1697754.609375,1030271.3046875
v300_v200_keep_pebbles_xl,409748,28,1642453.125,1026100.5625
v201_optimal_p70,341923,25,1707804.609375,1024863.8046875
v72_consistent_only,341923,25,1707804.609375,1024863.8046875
v100_consistent_thresh10,338973,25,1707804.609375,1023388.8046875
v202_optimal_p30,425230,29,1616329.21875,1020779.609375
v110_high_live_only,329152,23,1688876.953125,1009014.4765625
v61_drop_broad_thresh125,375970,28,1611651.09375,993810.546875
v80_drop_broad_thresh10,371772,28,1611651.09375,991711.546875
v29_drop_broad,368963,28,1611651.09375,990307.046875
v60_drop_extra,478176,32,1463260.3125,970718.15625
v50_thresh125_drop_flipped,491505,34,1307140.546875,899322.7734375
v28_drop_flipped,478981,34,1307140.546875,893060.7734375
v51_thresh10_drop_flipped,467051,34,1307140.546875,887095.7734375
v70_drop_groups,405654,28,1198576.40625,802115.203125
v41_drop_top2,500249,36,1090982.578125,795615.7890625
v40_drop_planetary,515619,37,955984.21875,735801.609375
v25_thresh125,546306,38,738270.46875,642288.234375
v14b,533782,38,738270.46875,636026.234375
v19_size10,533782,38,738270.46875,636026.234375
v18b_choc,533542,38,738270.46875,635906.234375
v18a_pist,532924,38,738270.46875,635597.234375
v47_thresh115,532741,38,738270.46875,635505.734375
v15,531718,40,738270.46875,634994.234375
v26_thresh175,530878,38,738270.46875,634574.234375
v42_size_dampen,530388,38,738270.46875,634329.234375
v20_pause7,529764,38,738270.46875,634017.234375
v46_thresh11,529754,38,738270.46875,634012.234375
v31_combo,527722,38,738270.46875,632996.234375
v17,526232,38,738270.46875,632251.234375
v14,526201,38,738270.46875,632235.734375
v34_multi_pair,525981,38,738270.46875,632125.734375
v45_thresh10,521852,38,738270.46875,630061.234375
v15c,521852,38,738270.46875,630061.234375
v30_te_skip,518448,38,738270.46875,628359.234375
v52_thresh075,517466,38,738270.46875,627868.234375
v35_tick_reversal,516423,38,738270.46875,627346.734375
v2,514953,38,738270.46875,626611.734375
v16,513647,38,738270.46875,625958.734375
v13_v2,512220,38,738270.46875,625245.234375
v22_window500,511158,38,738270.46875,624714.234375
v53_thresh050,510570,38,738270.46875,624420.234375
v15b,509668,38,738270.46875,623969.234375
v32_live_aware,503547,38,738270.46875,620908.734375
v33_live_aware_broad,481731,38,738270.46875,610000.734375
v13,398806,50,738270.46875,568538.234375
