leader,follower,lag1_mu,lags1_5_avg,lags1_20_avg,lags1_50_avg,n_shocks,abs_5
SNACKPACK,OXYGEN_SHAKE,-0.3301036339664045,-0.07476666339936913,-0.0179178459601766,-0.0017575683914380124,946,0.07476666339936913
SNACKPACK,GALAXY_SOUNDS,-0.31701860629284245,-0.06440389144534299,-0.019805362637252185,-0.002660270693687641,946,0.06440389144534299
SNACKPACK,UV_VISOR,-0.2791916978438424,-0.06346980391338836,-0.015532114143277967,-0.006798799801862033,946,0.06346980391338836
SNACKPACK,PANEL,-0.21405287440660167,-0.0556663826197953,-0.00909713237220509,-0.010336682998519203,946,0.0556663826197953
OXYGEN_SHAKE,PANEL,-0.0386796353511675,-0.05290762787219074,-0.010521105430943506,-0.005634181222260521,580,0.05290762787219074
ROBOT,TRANSLATOR,0.025921364367166747,-0.051409364992382314,-0.02615491008165214,-0.008816795369830092,550,0.051409364992382314
SNACKPACK,TRANSLATOR,-0.2251715740411286,-0.04334689412571704,-0.015969364987914212,-0.01314013420447337,946,0.04334689412571704
SNACKPACK,SLEEP_POD,-0.252049160546552,-0.04280649237247717,-0.004355570974856972,0.006107399438433552,946,0.04280649237247717
PANEL,SLEEP_POD,0.030502645554375526,0.03633593835414427,0.025684222917645088,0.011679822304563546,665,0.03633593835414427
TRANSLATOR,SLEEP_POD,-0.05829200807142872,-0.035605284585132395,-0.00675020010241763,0.004292186242987759,708,0.035605284585132395
UV_VISOR,SNACKPACK,-0.15770323182240262,-0.0346740735256479,-0.01590745885913273,-0.005641491225031928,675,0.0346740735256479
MICROCHIP,PANEL,0.023593888876156887,0.03219239360990728,0.000643707234780377,-0.001531377019586576,684,0.03219239360990728
GALAXY_SOUNDS,SLEEP_POD,0.07033791687856693,0.03177063038098876,0.00865668779164417,0.0073509576848633665,657,0.03177063038098876
SNACKPACK,ROBOT,-0.09667464190465494,-0.03064097828370852,-0.011478467784542054,-0.006721041579191173,946,0.03064097828370852
TRANSLATOR,PEBBLES,-0.04766612183748819,-0.030476824909355837,-0.006268642783492771,-0.001973570836037416,708,0.030476824909355837
MICROCHIP,PEBBLES,-0.12008239657133496,-0.029394460130291778,-0.006075762747980133,-0.005063603587579561,684,0.029394460130291778
OXYGEN_SHAKE,GALAXY_SOUNDS,-0.11645155765358162,-0.029018921416191397,-0.005339453277315724,-0.0027351379929479408,580,0.029018921416191397
TRANSLATOR,SNACKPACK,-0.1319938455661802,-0.028903268815491046,-0.006226118340999517,-0.0028359182223369637,708,0.028903268815491046
SLEEP_POD,UV_VISOR,-0.07494217317138084,-0.028780265342865673,-0.0096516590833777,-0.0026335620623047433,717,0.028780265342865673
ROBOT,SNACKPACK,-0.08693588696096548,-0.028760820489512402,-0.007597954351434814,-0.001157855014760491,550,0.028760820489512402
GALAXY_SOUNDS,SNACKPACK,-0.13464466300917066,-0.028733861445466014,-0.008676371789883638,-0.011572089785945296,657,0.028733861445466014
OXYGEN_SHAKE,UV_VISOR,-0.013374785466795058,0.02563604108647246,0.003491339764471554,0.000926107010127714,580,0.02563604108647246
OXYGEN_SHAKE,MICROCHIP,-0.07654093043965292,-0.02506167985877849,-0.009649865578869323,-0.0056934573749582995,580,0.02506167985877849
OXYGEN_SHAKE,TRANSLATOR,-0.03337446356920309,-0.023759090134398163,-0.015301657800042376,-0.008804931285752575,580,0.023759090134398163
MICROCHIP,OXYGEN_SHAKE,0.08640607012336242,0.023748006448067426,0.004811144664965976,0.010115972781804877,684,0.023748006448067426
PEBBLES,SNACKPACK,0.0856364377836036,0.021281697724076343,0.012808346114901914,0.0015502648481553816,687,0.021281697724076343
PEBBLES,SLEEP_POD,0.029005005203580864,0.021034342067097044,0.010773237363596994,0.0041525116169208575,687,0.021034342067097044
OXYGEN_SHAKE,SNACKPACK,-0.21621028835959463,-0.020279121504275133,-0.000641162921780431,-0.0010529936534947552,580,0.020279121504275133
PANEL,ROBOT,0.012689219018592178,-0.020271214441274863,-0.008615763152590212,-0.0032589901131023897,665,0.020271214441274863
MICROCHIP,TRANSLATOR,0.08913121573451199,0.02001968625580818,0.0008868069612149683,0.0015016874354301442,684,0.02001968625580818
PANEL,SNACKPACK,-0.06210012979966842,-0.01929377493394311,-0.005181983620649045,-0.0006545988409507427,665,0.01929377493394311
PANEL,PEBBLES,-0.010178636105875336,-0.01858947691260661,-0.007868369742678214,-0.00531960867783138,665,0.01858947691260661
GALAXY_SOUNDS,OXYGEN_SHAKE,-0.041364882039022006,-0.018495178059067374,-0.0028257305668346845,0.00017850498318994817,657,0.018495178059067374
