,GALAXY_SOUNDS,SLEEP_POD,MICROCHIP,PEBBLES,ROBOT,UV_VISOR,TRANSLATOR,PANEL,OXYGEN_SHAKE,SNACKPACK
GALAXY_SOUNDS,1.0,0.020241308610798443,0.002960804137895657,0.0032397266333591304,0.013881953596643093,0.024681727504865733,0.02569807179740886,0.022158141496888478,0.03513341663215916,0.1377022057437632
SLEEP_POD,0.020241308610798443,1.0,-0.006896246223811193,-0.005295044893376239,0.007886589165035823,0.018297432545054212,0.01407906995672331,0.024110253319809403,0.020363336339363304,0.10418960827661954
MICROCHIP,0.002960804137895657,-0.006896246223811193,1.0,-0.0030186010711695495,-0.007596379424025853,-0.004761519302068197,-0.00964099883602261,-0.0003757028195302809,-0.005494266721115827,-0.0020791717440060784
PEBBLES,0.0032397266333591304,-0.005295044893376239,-0.0030186010711695495,1.0,0.00668082215184512,0.0022565033424201695,-0.0007187366351896033,0.004529458266200879,-0.0022558123199299747,0.004609004979025412
ROBOT,0.013881953596643093,0.007886589165035823,-0.007596379424025853,0.00668082215184512,1.0,0.015662629118982807,0.010128404761600948,0.009758482826527162,0.014401278720306592,0.0668785007301198
UV_VISOR,0.024681727504865733,0.018297432545054212,-0.004761519302068197,0.0022565033424201695,0.015662629118982807,1.0,0.022706878841745024,0.026625848933951875,0.025409663355351,0.15026548971541706
TRANSLATOR,0.02569807179740886,0.01407906995672331,-0.00964099883602261,-0.0007187366351896033,0.010128404761600948,0.022706878841745024,1.0,0.013693606079457098,0.017082989913577484,0.11574533900723247
PANEL,0.022158141496888478,0.024110253319809403,-0.0003757028195302809,0.004529458266200879,0.009758482826527162,0.026625848933951875,0.013693606079457098,1.0,0.01968068078673181,0.11084339115409104
OXYGEN_SHAKE,0.03513341663215916,0.020363336339363304,-0.005494266721115827,-0.0022558123199299747,0.014401278720306592,0.025409663355351,0.017082989913577484,0.01968068078673181,1.0,0.14317071371826315
SNACKPACK,0.1377022057437632,0.10418960827661954,-0.0020791717440060784,0.004609004979025412,0.0668785007301198,0.15026548971541706,0.11574533900723247,0.11084339115409104,0.14317071371826315,1.0
