product,2,3,4,total_v2,live_pnl,live_extrapolated,bt_avg_per_day,live_vs_bt_ratio
GALAXY_SOUNDS_BLACK_HOLES,-6333,6117,15158,14942,2618.5703125,26185.703125,4980.666666666667,5.257469507094097
GALAXY_SOUNDS_DARK_MATTER,1855,-233,5936,7558,-3833.5859375,-38335.859375,2519.3333333333335,-15.216668182720296
GALAXY_SOUNDS_PLANETARY_RINGS,23252,1824,-6912,18164,-7257.125,-72571.25,6054.666666666667,-11.986002532481832
GALAXY_SOUNDS_SOLAR_FLAMES,0,0,0,0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,-9377,8446,9650,8719,267.8125,2678.125,2906.3333333333335,0.9214789540084871
MICROCHIP_CIRCLE,222,-1208,11367,10381,1228.15234375,12281.5234375,3460.3333333333335,3.5492313180329447
MICROCHIP_OVAL,4638,5001,1036,10675,2619.31640625,26193.1640625,3558.3333333333335,7.361076551522248
MICROCHIP_RECTANGLE,12736,5495,-13556,4675,-545.40625,-5454.0625,1558.3333333333333,-3.499933155080214
MICROCHIP_SQUARE,1474,-965,8195,8704,2754.0234375,27540.234375,2901.3333333333335,9.492268281824447
MICROCHIP_TRIANGLE,4961,-938,8191,12214,3035.890625,30358.90625,4071.3333333333335,7.45674789176355
OXYGEN_SHAKE_CHOCOLATE,8866,9843,4864,23573,1495.61328125,14956.1328125,7857.666666666667,1.9033809204386374
OXYGEN_SHAKE_EVENING_BREATH,1669,7291,11905,20865,-335.0,-3350.0,6955.0,-0.48166786484543495
OXYGEN_SHAKE_GARLIC,-2251,3578,8073,9400,3515.6796875,35156.796875,3133.3333333333335,11.22025432180851
OXYGEN_SHAKE_MINT,0,0,0,0,0.0,0.0,0.0,0.0
OXYGEN_SHAKE_MORNING_BREATH,3677,2159,7874,13710,-3371.6796875,-33716.796875,4570.0,-7.377854896061269
PANEL_1X2,0,0,0,0,0.0,0.0,0.0,0.0
PANEL_1X4,16377,4248,9062,29687,-2395.1328125,-23951.328125,9895.666666666666,-2.4203855012294944
PANEL_2X2,6944,175,23,7142,-2806.08984375,-28060.8984375,2380.6666666666665,-11.786991782763932
PANEL_2X4,1001,10695,6460,18156,2045.8671875,20458.671875,6052.0,3.3804811425974886
PANEL_4X4,0,0,0,0,0.0,0.0,0.0,0.0
PEBBLES_L,-5713,17538,-8300,3525,746.515625,7465.15625,1175.0,6.353324468085106
PEBBLES_M,0,0,0,0,0.0,0.0,0.0,0.0
PEBBLES_S,19505,4463,22558,46526,1277.15625,12771.5625,15508.666666666666,0.8235113162532778
PEBBLES_XL,-662,14302,11228,24868,-1629.75,-16297.5,8289.333333333334,-1.9660809071899628
PEBBLES_XS,0,0,0,0,0.0,0.0,0.0,0.0
ROBOT_DISHES,7619,10340,-2590,15369,-4499.9453125,-44999.453125,5123.0,-8.783808925434316
ROBOT_IRONING,14061,-785,1452,14728,2914.0,29140.0,4909.333333333333,5.935632808256383
ROBOT_LAUNDRY,-2135,1990,6332,6187,-2397.90234375,-23979.0234375,2062.3333333333335,-11.627132748100856
ROBOT_MOPPING,0,0,0,0,0.0,0.0,0.0,0.0
ROBOT_VACUUMING,0,0,0,0,0.0,0.0,0.0,0.0
SLEEP_POD_COTTON,-1166,50,9120,8004,6479.6953125,64796.953125,2668.0,24.286714064842577
SLEEP_POD_LAMB_WOOL,0,0,0,0,0.0,0.0,0.0,0.0
SLEEP_POD_NYLON,1743,6626,4818,13187,2565.15625,25651.5625,4395.666666666667,5.835647797072874
SLEEP_POD_POLYESTER,-608,6872,4162,10426,2692.53125,26925.3125,3475.3333333333335,7.747548196815653
SLEEP_POD_SUEDE,14574,5962,-6316,14220,1240.28125,12402.8125,4740.0,2.616627109704641
SNACKPACK_CHOCOLATE,4436,9078,5548,19062,735.171875,7351.71875,6354.0,1.1570221514006924
SNACKPACK_PISTACHIO,3890,5083,2022,10995,749.66796875,7496.6796875,3665.0,2.0454787687585267
SNACKPACK_RASPBERRY,4162,5574,5660,15396,-870.796875,-8707.96875,5132.0,-1.6967982755261106
SNACKPACK_STRAWBERRY,2158,2119,2944,7221,1245.8984375,12458.984375,2407.0,5.176146395928542
SNACKPACK_VANILLA,726,-56,2102,2772,363.109375,3631.09375,924.0,3.9297551406926408
TRANSLATOR_ASTRO_BLACK,394,220,7680,8294,2867.9609375,28679.609375,2764.6666666666665,10.373622874969858
TRANSLATOR_ECLIPSE_CHARCOAL,11333,-10380,7468,8421,3963.1875,39631.875,2807.0,14.118943712148202
TRANSLATOR_GRAPHITE_MIST,0,0,0,0,0.0,0.0,0.0,0.0
TRANSLATOR_SPACE_GRAY,0,0,0,0,0.0,0.0,0.0,0.0
TRANSLATOR_VOID_BLUE,4214,1820,10529,16563,1559.6953125,15596.953125,5521.0,2.825023206846586
UV_VISOR_AMBER,8148,-612,11048,18584,-2161.7578125,-21617.578125,6194.666666666667,-3.489708048590185
UV_VISOR_MAGENTA,0,0,0,0,0.0,0.0,0.0,0.0
UV_VISOR_ORANGE,3877,1926,9194,14997,4123.6640625,41236.640625,4999.0,8.248977920584117
UV_VISOR_RED,1233,8456,110,9799,3822.203125,38222.03125,3266.3333333333335,11.701815874068782
UV_VISOR_YELLOW,-1572,7962,854,7244,-213.6328125,-2136.328125,2414.6666666666665,-0.8847300352015461
