product,bt,live_3d,break_even_P
SNACKPACK_CHOCOLATE,19062,22055.15625,-6.368528204967582
OXYGEN_SHAKE_CHOCOLATE,23573,44868.3984375,-1.1069527564456962
SNACKPACK_PISTACHIO,10995,22490.0390625,-0.956499576923469
SLEEP_POD_SUEDE,14220,37208.4375,-0.6185718363851392
TRANSLATOR_VOID_BLUE,16562,46790.859375,-0.5478870305538943
SNACKPACK_VANILLA,3267,10893.28125,-0.4283870333263673
PANEL_2X4,18156,61376.015625,-0.42008314290145515
MICROCHIP_CIRCLE,10381,36844.5703125,-0.39227511168803103
SNACKPACK_STRAWBERRY,7220,37376.953125,-0.23941410692496806
GALAXY_SOUNDS_BLACK_HOLES,14942,78557.109375,-0.2348813064506344
SLEEP_POD_NYLON,13187,76954.6875,-0.20679752578451271
ROBOT_IRONING,14728,87420.0,-0.20260826500852913
PEBBLES_L,3525,22395.46875,-0.18679981121295675
MICROCHIP_OVAL,10675,78579.4921875,-0.15720609426728144
MICROCHIP_TRIANGLE,12214,91076.71875,-0.15487673001382546
SLEEP_POD_POLYESTER,10426,80775.9375,-0.14820197956821213
UV_VISOR_ORANGE,14997,123709.921875,-0.13795048225494122
MICROCHIP_SQUARE,8704,82620.703125,-0.11775416965338306
TRANSLATOR_ASTRO_BLACK,8294,86038.828125,-0.10668233759118623
OXYGEN_SHAKE_GARLIC,9400,105470.390625,-0.09784492327809768
UV_VISOR_RED,9798,114666.09375,-0.0934316592362012
TRANSLATOR_ECLIPSE_CHARCOAL,8422,118895.625,-0.07623539102659119
SLEEP_POD_COTTON,8004,194390.859375,-0.04294294150799761
GALAXY_SOUNDS_DARK_MATTER,7558,-115007.578125,0.061664947986390446
GALAXY_SOUNDS_PLANETARY_RINGS,18163,-217713.75,0.0770020784159524
PANEL_2X2,7142,-84182.6953125,0.07820447662662439
ROBOT_LAUNDRY,6187,-71937.0703125,0.07919454241505473
ROBOT_DISHES,15370,-134998.359375,0.10221565270702415
OXYGEN_SHAKE_MORNING_BREATH,13710,-101150.390625,0.11936229648357075
MICROCHIP_RECTANGLE,4676,-16362.1875,0.2222624929072431
UV_VISOR_AMBER,18584,-64852.734375,0.22273163180710834
PANEL_1X4,29686,-71853.984375,0.29235773653820796
SNACKPACK_RASPBERRY,15608,-26123.90625,0.3740063994800142
PEBBLES_XL,34199,-48892.5,0.41158241216008856
UV_VISOR_YELLOW,7244,-6408.984375,0.530579967063062
OXYGEN_SHAKE_EVENING_BREATH,20865,-10050.0,0.6749150897622513
PEBBLES_S,55318,38314.6875,3.253366072052137
GALAXY_SOUNDS_SOLAR_WINDS,8720,8034.375,12.718322698268004
