group,PC1,PC2,PC3,PC4
GALAXY_SOUNDS,-0.004665652608032127,-0.06202401681391022,-0.31800597703655953,0.2804664002014177
SLEEP_POD,0.007863321774172018,-0.042016380668602527,-0.22312294460161053,0.2983213180839991
MICROCHIP,-0.9996649054595682,-0.02051862863570859,-0.010962448676205591,0.00020085817988733934
PEBBLES,0.0009635235211514818,0.0030835146875670405,-0.0015099234021266738,0.003178961816500243
ROBOT,0.01871033740721706,-0.9878015277524189,0.14824146453916864,-0.039404294303512014
UV_VISOR,0.0046695329110330325,-0.0683317558877832,-0.28789773787281714,0.42004139815594577
TRANSLATOR,0.0070398997128591195,-0.04118114463225628,-0.2017449876543526,0.4108198227272163
PANEL,0.00463030125637371,-0.04471914640832995,-0.24222641465817354,0.38554750662906545
OXYGEN_SHAKE,0.011798187337197175,-0.0952823420945686,-0.7991355188862277,-0.5786246044795371
SNACKPACK,0.0018627682946445144,-0.027597506651864695,-0.07818569039984025,0.04603400151490561
