,GALAXY_SOUNDS,SLEEP_POD,MICROCHIP,PEBBLES,ROBOT,UV_VISOR,TRANSLATOR,PANEL,OXYGEN_SHAKE,SNACKPACK
GALAXY_SOUNDS,1.0,0.6606905720901558,-0.6189255756960711,0.052041924137136424,-0.4720780066894075,0.6666672459139019,0.21989915270993188,-0.5386006854146734,0.05168582563288219,-0.10319805610365697
SLEEP_POD,0.6606905720901558,1.0,-0.8183949014312749,0.15585168685767775,-0.8416713177899784,0.6482087940466794,0.06661469218903442,-0.30983913939990976,0.2007453459873247,-0.29246155663945844
MICROCHIP,-0.6189255756960711,-0.8183949014312749,1.0,-0.30594434346003735,0.720984113433273,-0.6939701969774942,-0.1965530802109167,0.3590981105497024,0.016985414239372307,0.5190804315417886
PEBBLES,0.052041924137136424,0.15585168685767775,-0.30594434346003735,1.0,-0.3075097834045063,0.1699946833128661,0.38651615866827177,-0.3366340021451207,-0.47705696412791115,-0.40356297157515336
ROBOT,-0.4720780066894075,-0.8416713177899784,0.720984113433273,-0.3075097834045063,1.0,-0.43512960532237216,0.00913150875885574,0.3369464919275516,-0.22900894144703934,0.31657595502578584
UV_VISOR,0.6666672459139019,0.6482087940466794,-0.6939701969774942,0.1699946833128661,-0.43512960532237216,1.0,0.5135534668252384,-0.4019733766729655,-0.2046756417043471,-0.3311349474711278
TRANSLATOR,0.21989915270993188,0.06661469218903442,-0.1965530802109167,0.38651615866827177,0.00913150875885574,0.5135534668252384,1.0,-0.23500427761961232,-0.4197988502802935,-0.035420285931573495
PANEL,-0.5386006854146734,-0.30983913939990976,0.3590981105497024,-0.3366340021451207,0.3369464919275516,-0.4019733766729655,-0.23500427761961232,1.0,0.014300931939462674,0.2028838770434823
OXYGEN_SHAKE,0.05168582563288219,0.2007453459873247,0.016985414239372307,-0.47705696412791115,-0.22900894144703934,-0.2046756417043471,-0.4197988502802935,0.014300931939462674,1.0,0.46201333179139115
SNACKPACK,-0.10319805610365697,-0.29246155663945844,0.5190804315417886,-0.40356297157515336,0.31657595502578584,-0.3311349474711278,-0.035420285931573495,0.2028838770434823,0.46201333179139115,1.0
