,GALAXY_SOUNDS,SLEEP_POD,MICROCHIP,PEBBLES,ROBOT,UV_VISOR,TRANSLATOR,PANEL,OXYGEN_SHAKE,SNACKPACK
GALAXY_SOUNDS,1.0,0.017668537301133363,0.0017789954635930362,0.004127766899517137,0.018400296806799308,0.022328640187732906,0.021936489994031864,0.019210590063871744,0.02948686001870429,0.06633577867518768
SLEEP_POD,0.017668537301133363,1.0,-0.005561424392302732,-0.004755827534851646,0.010892778441420586,0.017473319658025094,0.012234764469926654,0.0233568698533034,0.0205187942627224,0.05276944193342513
MICROCHIP,0.0017789954635930362,-0.005561424392302732,1.0,-0.004953561215335842,-0.008666126997223291,-0.0048356270288459355,-0.00858469658169313,-0.0021775778458344103,-0.007639929225724427,-0.0019176971234527139
PEBBLES,0.004127766899517137,-0.004755827534851646,-0.004953561215335842,1.0,0.003970194562413129,0.0022995072073885006,0.0003434153736631481,0.004326603835213291,-0.0018216342542666443,0.006038779034489979
ROBOT,0.018400296806799308,0.010892778441420586,-0.008666126997223291,0.003970194562413129,1.0,0.01395110956640482,0.009705434769692507,0.009593914592810402,0.01792361545950542,0.04613245513150766
UV_VISOR,0.022328640187732906,0.017473319658025094,-0.0048356270288459355,0.0022995072073885006,0.01395110956640482,1.0,0.019436099924581063,0.024788324629377773,0.028748658509749232,0.07376694551114278
TRANSLATOR,0.021936489994031864,0.012234764469926654,-0.00858469658169313,0.0003434153736631481,0.009705434769692507,0.019436099924581063,1.0,0.012134614367361164,0.019966099122660924,0.06469775524071206
PANEL,0.019210590063871744,0.0233568698533034,-0.0021775778458344103,0.004326603835213291,0.009593914592810402,0.024788324629377773,0.012134614367361164,1.0,0.020412620141768447,0.058154046437470686
OXYGEN_SHAKE,0.02948686001870429,0.0205187942627224,-0.007639929225724427,-0.0018216342542666443,0.01792361545950542,0.028748658509749232,0.019966099122660924,0.020412620141768447,1.0,0.07477847125570926
SNACKPACK,0.06633577867518768,0.05276944193342513,-0.0019176971234527139,0.006038779034489979,0.04613245513150766,0.07376694551114278,0.06469775524071206,0.058154046437470686,0.07477847125570926,1.0
