,GALAXY_SOUNDS,SLEEP_POD,MICROCHIP,PEBBLES,ROBOT,UV_VISOR,TRANSLATOR,PANEL,OXYGEN_SHAKE,SNACKPACK
GALAXY_SOUNDS,1.0,0.05733333333333333,0.06533333333333333,0.048666666666666664,0.058666666666666666,0.054,0.066,0.06133333333333333,0.064,0.136
SLEEP_POD,0.05733333333333333,1.0,0.03866666666666667,0.04533333333333334,0.05733333333333333,0.059333333333333335,0.043333333333333335,0.06066666666666667,0.06,0.09866666666666667
MICROCHIP,0.06533333333333333,0.03866666666666667,1.0,0.05266666666666667,0.048,0.054,0.04933333333333333,0.054,0.044,0.05333333333333334
PEBBLES,0.048666666666666664,0.04533333333333334,0.05266666666666667,1.0,0.052,0.050666666666666665,0.038,0.05466666666666667,0.048666666666666664,0.05
ROBOT,0.058666666666666666,0.05733333333333333,0.048,0.052,1.0,0.056,0.05533333333333333,0.04466666666666667,0.051333333333333335,0.072
UV_VISOR,0.054,0.059333333333333335,0.054,0.050666666666666665,0.056,1.0,0.06,0.052,0.05333333333333334,0.132
TRANSLATOR,0.066,0.043333333333333335,0.04933333333333333,0.038,0.05533333333333333,0.06,1.0,0.05533333333333333,0.059333333333333335,0.10066666666666667
PANEL,0.06133333333333333,0.06066666666666667,0.054,0.05466666666666667,0.04466666666666667,0.052,0.05533333333333333,1.0,0.056666666666666664,0.1
OXYGEN_SHAKE,0.064,0.06,0.044,0.048666666666666664,0.051333333333333335,0.05333333333333334,0.059333333333333335,0.056666666666666664,1.0,0.12866666666666668
SNACKPACK,0.136,0.09866666666666667,0.05333333333333334,0.05,0.072,0.132,0.10066666666666667,0.1,0.12866666666666668,1.0
