product,q0,q1,q2,q3,final
GALAXY_SOUNDS_PLANETARY_RINGS,0.0,367.0859375,-1525.8828125,-4862.46875,-7257.125
SLEEP_POD_LAMB_WOOL,0.0,0.0,0.0,0.0,0.0
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,0.0,0.0
SLEEP_POD_NYLON,0.0,212.833984375,1460.5234375,2055.8828125,2565.15625
SNACKPACK_PISTACHIO,0.0,60.421875,1083.25,341.7578125,749.66796875
PANEL_2X2,0.0,-615.169921875,222.640625,-2389.734375,-2806.08984375
PANEL_2X4,0.0,431.4140625,135.2109375,-839.421875,2045.8671875
PANEL_4X4,0.0,0.0,0.0,0.0,0.0
MICROCHIP_RECTANGLE,0.0,-11.5029296875,-53.45703125,-647.71484375,-545.40625
SLEEP_POD_POLYESTER,0.0,741.482421875,1746.3046875,1017.6171875,2692.53125
UV_VISOR_MAGENTA,0.0,0.0,0.0,0.0,0.0
ROBOT_DISHES,0.0,-283.96875,-511.2890625,-2143.2421875,-4499.9453125
GALAXY_SOUNDS_SOLAR_WINDS,0.0,-618.109375,-1800.8046875,-2309.3359375,267.8125
ROBOT_MOPPING,0.0,0.0,0.0,0.0,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,-296.177734375,679.359375,2361.2421875,3963.1875
TRANSLATOR_ASTRO_BLACK,0.0,-24.943359375,1690.2734375,2236.546875,2867.9609375
SNACKPACK_STRAWBERRY,0.0,157.9375,1892.609375,876.9765625,1245.8984375
ROBOT_LAUNDRY,0.0,543.5078125,-1759.1953125,-1479.53125,-2397.90234375
MICROCHIP_SQUARE,0.0,96.98828125,1186.484375,243.3515625,2754.0234375
SLEEP_POD_SUEDE,0.0,-134.720703125,550.0859375,2444.6640625,1240.28125
ROBOT_IRONING,0.0,22.0,1648.0,1328.0,2914.0
MICROCHIP_OVAL,0.0,3.703125,909.125,1190.921875,2619.31640625
ROBOT_VACUUMING,0.0,0.0,0.0,0.0,0.0
MICROCHIP_CIRCLE,0.0,-44.611328125,164.1171875,901.34375,1228.15234375
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,0.0,0.0
OXYGEN_SHAKE_GARLIC,0.0,-927.740234375,-715.6171875,53.6875,3515.6796875
PEBBLES_XL,0.0,-1010.310546875,-560.3359375,-1930.4765625,-1629.75
PEBBLES_S,0.0,756.578125,1393.75,1750.72265625,1277.15625
SLEEP_POD_COTTON,0.0,67.251953125,1435.8203125,2874.7109375,6479.6953125
PANEL_1X2,0.0,0.0,0.0,0.0,0.0
PANEL_1X4,0.0,130.369140625,-36.921875,-1425.3828125,-2395.1328125
PEBBLES_XS,0.0,0.0,0.0,0.0,0.0
OXYGEN_SHAKE_MORNING_BREATH,0.0,-63.845703125,-300.125,-605.046875,-3371.6796875
SNACKPACK_VANILLA,0.0,-197.611328125,1145.203125,1550.90625,363.109375
TRANSLATOR_GRAPHITE_MIST,0.0,0.0,0.0,0.0,0.0
GALAXY_SOUNDS_DARK_MATTER,0.0,760.728515625,512.390625,-796.828125,-3833.5859375
UV_VISOR_ORANGE,0.0,389.62109375,925.2890625,3097.4609375,4123.6640625
OXYGEN_SHAKE_CHOCOLATE,0.0,-415.4140625,-150.0390625,-705.9453125,1495.61328125
UV_VISOR_YELLOW,0.0,902.16015625,1657.375,563.953125,-213.6328125
OXYGEN_SHAKE_EVENING_BREATH,0.0,20.0,1220.0,1090.0,-335.0
MICROCHIP_TRIANGLE,0.0,17.341796875,1244.375,2473.234375,3035.890625
UV_VISOR_AMBER,0.0,-163.7294921875,-2576.6953125,-2204.91015625,-2161.7578125
SNACKPACK_CHOCOLATE,0.0,481.240234375,-389.765625,-850.890625,735.171875
GALAXY_SOUNDS_BLACK_HOLES,0.0,571.02734375,322.875,1440.578125,2618.5703125
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,0.0,0.0
UV_VISOR_RED,0.0,213.3203125,897.109375,1639.9921875,3822.203125
TRANSLATOR_VOID_BLUE,0.0,648.283203125,120.21875,-635.8671875,1559.6953125
PEBBLES_L,0.0,115.001953125,-577.16796875,425.87109375,746.515625
SNACKPACK_RASPBERRY,0.0,79.2109375,-1705.4609375,-630.328125,-870.796875
PEBBLES_M,0.0,0.0,0.0,0.0,0.0
