=== FINAL COMPARISON (sorted by EV 50/50) ===
variant                                     bt    n      live_3d          EV
---------------------------------------------------------------------------
v200_optimal_p50                       370,032   27    1,691,346   1,030,689
v203_optimal_p60                       362,788   26    1,697,755   1,030,271
v300_v200_keep_pebbles_xl              409,748   28    1,642,453   1,026,101
v201_optimal_p70                       341,923   25    1,707,805   1,024,864
v72_consistent_only                    341,923   25    1,707,805   1,024,864
v100_consistent_thresh10               338,973   25    1,707,805   1,023,389
v202_optimal_p30                       425,230   29    1,616,329   1,020,780
v110_high_live_only                    329,152   23    1,688,877   1,009,014
v61_drop_broad_thresh125               375,970   28    1,611,651     993,811
v80_drop_broad_thresh10                371,772   28    1,611,651     991,712
v29_drop_broad                         368,963   28    1,611,651     990,307
v60_drop_extra                         478,176   32    1,463,260     970,718
v50_thresh125_drop_flipped             491,505   34    1,307,141     899,323
v28_drop_flipped                       478,981   34    1,307,141     893,061
v51_thresh10_drop_flipped              467,051   34    1,307,141     887,096
v70_drop_groups                        405,654   28    1,198,576     802,115
v41_drop_top2                          500,249   36    1,090,983     795,616
v40_drop_planetary                     515,619   37      955,984     735,802
v25_thresh125                          546,306   38      738,270     642,288
v14b                                   533,782   38      738,270     636,026
v19_size10                             533,782   38      738,270     636,026
v18b_choc                              533,542   38      738,270     635,906
v18a_pist                              532,924   38      738,270     635,597
v47_thresh115                          532,741   38      738,270     635,506
v15                                    531,718   40      738,270     634,994
v26_thresh175                          530,878   38      738,270     634,574
v42_size_dampen                        530,388   38      738,270     634,329
v20_pause7                             529,764   38      738,270     634,017
v46_thresh11                           529,754   38      738,270     634,012
v31_combo                              527,722   38      738,270     632,996
v17                                    526,232   38      738,270     632,251
v14                                    526,201   38      738,270     632,236
v34_multi_pair                         525,981   38      738,270     632,126
v45_thresh10                           521,852   38      738,270     630,061
v15c                                   521,852   38      738,270     630,061
v30_te_skip                            518,448   38      738,270     628,359
v52_thresh075                          517,466   38      738,270     627,868
v35_tick_reversal                      516,423   38      738,270     627,347
v2                                     514,953   38      738,270     626,612
v16                                    513,647   38      738,270     625,959
v13_v2                                 512,220   38      738,270     625,245
v22_window500                          511,158   38      738,270     624,714
v53_thresh050                          510,570   38      738,270     624,420
v15b                                   509,668   38      738,270     623,969
v32_live_aware                         503,547   38      738,270     620,909
v33_live_aware_broad                   481,731   38      738,270     610,001
v13                                    398,806   50      738,270     568,538
