symbol,quantity
SLEEP_POD_COTTON,7
TRANSLATOR_ECLIPSE_CHARCOAL,7
GALAXY_SOUNDS_SOLAR_WINDS,7
ROBOT_IRONING,7
GALAXY_SOUNDS_DARK_MATTER,7
MICROCHIP_RECTANGLE,-6
SNACKPACK_STRAWBERRY,7
OXYGEN_SHAKE_EVENING_BREATH,7
UV_VISOR_YELLOW,7
SNACKPACK_VANILLA,7
PEBBLES_XL,2
SNACKPACK_PISTACHIO,7
MICROCHIP_CIRCLE,-6
PEBBLES_L,2
SNACKPACK_CHOCOLATE,7
OXYGEN_SHAKE_GARLIC,7
MICROCHIP_TRIANGLE,-6
SNACKPACK_RASPBERRY,7
OXYGEN_SHAKE_MORNING_BREATH,7
ROBOT_LAUNDRY,7
XIRECS,-1919665
SLEEP_POD_SUEDE,7
SLEEP_POD_NYLON,7
UV_VISOR_ORANGE,7
PANEL_2X4,7
UV_VISOR_RED,7
PANEL_2X2,7
MICROCHIP_OVAL,-6
ROBOT_DISHES,7
GALAXY_SOUNDS_PLANETARY_RINGS,7
OXYGEN_SHAKE_CHOCOLATE,7
PANEL_1X4,7
GALAXY_SOUNDS_BLACK_HOLES,7
TRANSLATOR_ASTRO_BLACK,7
TRANSLATOR_VOID_BLUE,7
PEBBLES_S,2
MICROCHIP_SQUARE,-6
UV_VISOR_AMBER,7
SLEEP_POD_POLYESTER,7
