product,profit_and_loss
GALAXY_SOUNDS_BLACK_HOLES,2618.5703125
GALAXY_SOUNDS_DARK_MATTER,-3833.5859375
GALAXY_SOUNDS_PLANETARY_RINGS,-7257.125
GALAXY_SOUNDS_SOLAR_FLAMES,1340.7734375
GALAXY_SOUNDS_SOLAR_WINDS,267.8125
MICROCHIP_CIRCLE,1228.15234375
MICROCHIP_OVAL,2619.31640625
MICROCHIP_RECTANGLE,-563.8017578125
MICROCHIP_SQUARE,-469.625
MICROCHIP_TRIANGLE,3035.890625
OXYGEN_SHAKE_CHOCOLATE,1495.61328125
OXYGEN_SHAKE_EVENING_BREATH,-335.0
OXYGEN_SHAKE_GARLIC,0.0
OXYGEN_SHAKE_MINT,-2119.2578125
OXYGEN_SHAKE_MORNING_BREATH,-3371.6796875
PANEL_1X2,2334.4375
PANEL_1X4,-2395.1328125
PANEL_2X2,-2806.08984375
PANEL_2X4,2045.8671875
PANEL_4X4,5163.1015625
PEBBLES_L,-97.7578125
PEBBLES_M,0.0
PEBBLES_S,1976.84375
PEBBLES_XL,213.625
PEBBLES_XS,0.0
ROBOT_DISHES,-108.2109375
ROBOT_IRONING,2870.0
ROBOT_LAUNDRY,-2367.90234375
ROBOT_MOPPING,-146.0546875
ROBOT_VACUUMING,952.0
SLEEP_POD_COTTON,431.5625
SLEEP_POD_LAMB_WOOL,0.0
SLEEP_POD_NYLON,-898.640625
SLEEP_POD_POLYESTER,0.0
SLEEP_POD_SUEDE,1240.28125
SNACKPACK_CHOCOLATE,735.171875
SNACKPACK_PISTACHIO,749.66796875
SNACKPACK_RASPBERRY,-787.796875
SNACKPACK_STRAWBERRY,1245.8984375
SNACKPACK_VANILLA,429.109375
TRANSLATOR_ASTRO_BLACK,2867.9609375
TRANSLATOR_ECLIPSE_CHARCOAL,3963.1875
TRANSLATOR_GRAPHITE_MIST,3847.828125
TRANSLATOR_SPACE_GRAY,0.0
TRANSLATOR_VOID_BLUE,1559.6953125
UV_VISOR_AMBER,2403.9375
UV_VISOR_MAGENTA,0.0
UV_VISOR_ORANGE,4123.6640625
UV_VISOR_RED,3822.203125
UV_VISOR_YELLOW,0.0
