day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;ASH_COATED_OSMIUM;10000.0;13.0;9999.0;14.0;9998.0;21.0;10016.0;13.0;10017.0;23.0;10019.0;21.0;10008.0;0.0
1;0;INTARIAN_PEPPER_ROOT;12993.0;9.0;12991.0;21.0;12990.0;25.0;13007.0;9.0;13010.0;25.0;;;13000.0;0.0
1;100;ASH_COATED_OSMIUM;10000.0;15.0;9999.0;27.0;9998.0;26.0;10019.0;26.0;;;;;10009.5;0.0
1;100;INTARIAN_PEPPER_ROOT;12993.0;8.0;;;;;13007.0;8.0;13009.0;11.0;13010.0;22.0;13000.0;0.0
1;200;ASH_COATED_OSMIUM;10000.0;15.0;9999.0;24.0;9998.0;30.0;10019.0;30.0;;;;;10009.5;0.0
1;200;INTARIAN_PEPPER_ROOT;12993.0;9.0;12991.0;20.0;12990.0;22.0;13010.0;22.0;;;;;13001.5;0.0
1;300;ASH_COATED_OSMIUM;9998.0;27.0;;;;;10016.0;12.0;10018.0;24.0;10019.0;27.0;10007.0;0.0
1;300;INTARIAN_PEPPER_ROOT;12993.0;8.0;12992.0;8.0;12990.0;23.0;13007.0;8.0;13010.0;17.0;13011.0;23.0;13000.0;0.0
1;400;ASH_COATED_OSMIUM;10010.0;8.0;10000.0;12.0;9999.0;14.0;10016.0;12.0;10017.0;15.0;10019.0;25.0;10013.0;0.0
1;400;INTARIAN_PEPPER_ROOT;12993.0;10.0;12991.0;10.0;12990.0;15.0;13007.0;10.0;13010.0;23.0;13011.0;15.0;13000.0;0.0
1;500;ASH_COATED_OSMIUM;10000.0;11.0;9999.0;28.0;9998.0;22.0;10017.0;11.0;10019.0;22.0;;;10008.5;0.0
1;500;INTARIAN_PEPPER_ROOT;12993.0;9.0;12992.0;22.0;12990.0;19.0;13007.0;9.0;13011.0;19.0;;;13000.0;0.0
1;600;ASH_COATED_OSMIUM;10000.0;13.0;9999.0;12.0;9998.0;25.0;10019.0;25.0;;;;;10009.5;0.0
1;600;INTARIAN_PEPPER_ROOT;12990.0;23.0;;;;;13008.0;11.0;13009.0;9.0;13010.0;10.0;12999.0;0.0
1;700;ASH_COATED_OSMIUM;10000.0;11.0;;;;;10016.0;11.0;;;;;10008.0;0.0
1;700;INTARIAN_PEPPER_ROOT;12994.0;9.0;12992.0;12.0;12990.0;24.0;13008.0;9.0;13010.0;10.0;13011.0;24.0;13001.0;0.0
1;800;ASH_COATED_OSMIUM;10001.0;12.0;10000.0;10.0;9998.0;27.0;10019.0;27.0;;;;;10010.0;0.0
1;800;INTARIAN_PEPPER_ROOT;12994.0;8.0;;;;;13008.0;8.0;13009.0;11.0;13011.0;20.0;13001.0;0.0
1;900;ASH_COATED_OSMIUM;10001.0;12.0;10000.0;30.0;9998.0;21.0;10019.0;21.0;;;;;10010.0;0.0
1;900;INTARIAN_PEPPER_ROOT;12994.0;8.0;12993.0;25.0;12991.0;25.0;13011.0;25.0;;;;;13002.5;0.0
1;1000;ASH_COATED_OSMIUM;10001.0;14.0;9999.0;14.0;9998.0;28.0;10017.0;14.0;10018.0;20.0;10019.0;28.0;10009.0;0.0
1;1000;INTARIAN_PEPPER_ROOT;12994.0;10.0;12992.0;20.0;12991.0;21.0;13008.0;10.0;13011.0;21.0;;;13001.0;0.0
1;1100;ASH_COATED_OSMIUM;10001.0;13.0;10000.0;22.0;9998.0;28.0;10017.0;13.0;10019.0;28.0;;;10009.0;0.0
1;1100;INTARIAN_PEPPER_ROOT;12994.0;11.0;12993.0;16.0;12991.0;24.0;13008.0;11.0;13009.0;23.0;13011.0;24.0;13001.0;0.0
1;1200;ASH_COATED_OSMIUM;10001.0;12.0;;;;;;;;;;;10001.0;0.0
