day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;ASH_COATED_OSMIUM;9982.0;19;;;;;10000.0;12;10003.0;17;;;9991.0;0.0
-1;0;INTARIAN_PEPPER_ROOT;10994.0;7;;;;;11009.0;16;;;;;11001.5;0.0
-1;100;ASH_COATED_OSMIUM;9984.0;12;;;;;10000.0;12;10003.0;18;;;9992.0;0.0
-1;100;INTARIAN_PEPPER_ROOT;10994.0;7;10991.0;18;;;11006.0;7;11009.0;16;;;11000.0;0.0
-1;200;ASH_COATED_OSMIUM;9985.0;13;9982.0;25;;;10001.0;11;;;;;9993.0;0.0
-1;200;INTARIAN_PEPPER_ROOT;;;;;;;11006.0;8;11009.0;18;;;11006.0;0.0
-1;300;ASH_COATED_OSMIUM;9982.0;18;;;;;10003.0;26;;;;;9992.5;0.0
-1;300;INTARIAN_PEPPER_ROOT;10994.0;5;;;;;11009.0;22;;;;;11001.5;0.0
-1;400;ASH_COATED_OSMIUM;9995.0;6;9985.0;11;9983.0;22;10001.0;10;10004.0;21;;;9998.0;0.0
-1;400;INTARIAN_PEPPER_ROOT;10994.0;8;10992.0;14;;;11006.0;7;11009.0;15;;;11000.0;0.0
-1;500;ASH_COATED_OSMIUM;9985.0;7;9983.0;20;;;10001.0;8;10004.0;18;;;9993.0;0.0
-1;500;INTARIAN_PEPPER_ROOT;;;;;;;11009.0;19;;;;;11009.0;0.0
-1;600;ASH_COATED_OSMIUM;9986.0;9;;;;;10002.0;12;10004.0;20;;;9994.0;0.0
-1;600;INTARIAN_PEPPER_ROOT;10995.0;8;10992.0;21;;;11007.0;9;;;;;11001.0;0.0
-1;700;ASH_COATED_OSMIUM;9985.0;8;9983.0;18;;;10001.0;9;10004.0;20;;;9993.0;0.0
-1;700;INTARIAN_PEPPER_ROOT;10995.0;7;;;;;11007.0;5;11009.0;19;;;11001.0;0.0
-1;800;ASH_COATED_OSMIUM;9985.0;10;9983.0;22;;;10004.0;15;;;;;9994.5;0.0
-1;800;INTARIAN_PEPPER_ROOT;10995.0;6;;;;;11007.0;6;11010.0;16;;;11001.0;0.0
-1;900;ASH_COATED_OSMIUM;9985.0;10;9982.0;17;;;10001.0;8;;;;;9993.0;0.0
-1;900;INTARIAN_PEPPER_ROOT;10992.0;18;;;;;11007.0;4;11010.0;19;;;10999.5;0.0
-1;1000;ASH_COATED_OSMIUM;9985.0;12;9983.0;19;;;10001.0;12;10004.0;22;;;9993.0;0.0
-1;1000;INTARIAN_PEPPER_ROOT;10992.0;17;;;;;11007.0;8;11010.0;15;;;10999.5;0.0
-1;1100;ASH_COATED_OSMIUM;9985.0;9;9983.0;22;;;10004.0;26;;;;;9994.5;0.0
-1;1100;INTARIAN_PEPPER_ROOT;10995.0;9;;;;;11007.0;8;;;;;11001.0;0.0
-1;1200;ASH_COATED_OSMIUM;9983.0;22;;;;;10001.0;11;10004.0;26;;;9992.0;0.0
-1;1200;INTARIAN_PEPPER_ROOT;10992.0;18;;;;;11010.0;18;;;;;11001.0;0.0
-1;1300;ASH_COATED_OSMIUM;9985.0;8;9983.0;21;;;10004.0;18;;;;;9994.5;0.0
-1;1300;INTARIAN_PEPPER_ROOT;10995.0;10;;;;;11007.0;11;11010.0;12;;;11001.0;0.0
-1;1400;ASH_COATED_OSMIUM;9985.0;10;9983.0;18;;;10001.0;9;10004.0;21;;;9993.0;0.0
-1;1400;INTARIAN_PEPPER_ROOT;10995.0;7;10993.0;11;;;11007.0;10;;;;;11001.0;0.0
-1;1500;ASH_COATED_OSMIUM;9985.0;10;9983.0;22;;;9991.0;3;10001.0;8;10004.0;23;9988.0;0.0
-1;1500;INTARIAN_PEPPER_ROOT;10995.0;9;10993.0;13;;;11007.0;9;11010.0;11;;;11001.0;0.0
-1;1600;ASH_COATED_OSMIUM;9985.0;12;9983.0;16;;;10004.0;17;;;;;9994.5;0.0
-1;1600;INTARIAN_PEPPER_ROOT;10996.0;6;10993.0;21;;;11008.0;7;11010.0;18;;;11002.0;0.0
-1;1700;ASH_COATED_OSMIUM;9983.0;18;;;;;10001.0;11;;;;;9992.0;0.0
-1;1700;INTARIAN_PEPPER_ROOT;10993.0;14;;;;;11010.0;10;;;;;11001.5;0.0
-1;1800;ASH_COATED_OSMIUM;9986.0;11;9983.0;25;;;9995.0;3;10004.0;25;;;9990.5;0.0
-1;1800;INTARIAN_PEPPER_ROOT;10996.0;7;10993.0;12;;;11008.0;5;11011.0;13;;;11002.0;0.0
-1;1900;ASH_COATED_OSMIUM;;;;;;;10001.0;14;10004.0;23;;;10001.0;0.0
-1;1900;INTARIAN_PEPPER_ROOT;10996.0;8;;;;;11008.0;9;11011.0;19;;;11002.0;0.0
-1;2000;ASH_COATED_OSMIUM;9985.0;9;;;;;10001.0;9;10004.0;18;;;9993.0;0.0
-1;2000;INTARIAN_PEPPER_ROOT;10996.0;11;10993.0;18;;;11008.0;8;11011.0;20;;;11002.0;0.0
-1;2100;ASH_COATED_OSMIUM;9985.0;10;9983.0;18;;;10001.0;10;10004.0;23;;;9993.0;0.0
-1;2100;INTARIAN_PEPPER_ROOT;10996.0;8;10993.0;12;;;11008.0;8;;;;;11002.0;0.0
-1;2200;ASH_COATED_OSMIUM;9985.0;7;;;;;10001.0;7;10004.0;24;;;9993.0;0.0
-1;2200;INTARIAN_PEPPER_ROOT;10996.0;8;10993.0;17;;;11008.0;11;;;;;11002.0;0.0
-1;2300;ASH_COATED_OSMIUM;9985.0;11;9982.0;15;;;10001.0;8;10003.0;15;;;9993.0;0.0
-1;2300;INTARIAN_PEPPER_ROOT;10996.0;7;10994.0;16;;;11008.0;9;;;;;11002.0;0.0
-1;2400;ASH_COATED_OSMIUM;9984.0;9;9982.0;21;;;10003.0;20;;;;;9993.5;0.0
-1;2400;INTARIAN_PEPPER_ROOT;10996.0;6;;;;;11008.0;7;11011.0;18;;;11002.0;0.0
-1;2500;ASH_COATED_OSMIUM;9982.0;16;;;;;10000.0;13;10003.0;21;;;9991.0;0.0
-1;2500;INTARIAN_PEPPER_ROOT;10996.0;10;;;;;11009.0;10;11011.0;13;;;11002.5;0.0
-1;2600;ASH_COATED_OSMIUM;9984.0;11;;;;;10000.0;11;10003.0;15;;;9992.0;0.0
-1;2600;INTARIAN_PEPPER_ROOT;10997.0;5;10994.0;17;;;11009.0;5;;;;;11003.0;0.0
-1;2700;ASH_COATED_OSMIUM;;;;;;;10003.0;20;;;;;10003.0;0.0
-1;2700;INTARIAN_PEPPER_ROOT;10997.0;10;10994.0;17;;;10999.0;6;11011.0;12;;;10998.0;0.0
-1;2800;ASH_COATED_OSMIUM;9985.0;10;9983.0;18;;;10001.0;10;10004.0;18;;;9993.0;0.0
-1;2800;INTARIAN_PEPPER_ROOT;10997.0;8;;;;;11009.0;8;11012.0;20;;;11003.0;0.0
-1;2900;ASH_COATED_OSMIUM;9983.0;17;;;;;10001.0;13;10004.0;17;;;9992.0;0.0
-1;2900;INTARIAN_PEPPER_ROOT;11006.0;6;10994.0;22;;;11009.0;10;11012.0;18;;;11007.5;0.0
-1;3000;ASH_COATED_OSMIUM;9986.0;11;9983.0;24;;;10002.0;11;10004.0;20;;;9994.0;0.0
-1;3000;INTARIAN_PEPPER_ROOT;10994.0;17;;;;;11009.0;7;;;;;11001.5;0.0
-1;3100;ASH_COATED_OSMIUM;9986.0;8;;;;;10004.0;23;;;;;9995.0;0.0
-1;3100;INTARIAN_PEPPER_ROOT;10997.0;10;10994.0;19;;;11009.0;10;;;;;11003.0;0.0
-1;3200;ASH_COATED_OSMIUM;9985.0;11;9983.0;23;;;10001.0;9;;;;;9993.0;0.0
-1;3200;INTARIAN_PEPPER_ROOT;10997.0;8;10994.0;18;;;11009.0;8;11012.0;24;;;11003.0;0.0
-1;3300;ASH_COATED_OSMIUM;9985.0;11;9983.0;23;;;;;;;;;9985.0;0.0
-1;3300;INTARIAN_PEPPER_ROOT;10997.0;9;;;;;11009.0;4;11012.0;15;;;11003.0;0.0
-1;3400;ASH_COATED_OSMIUM;9985.0;7;9983.0;19;;;10001.0;7;10004.0;23;;;9993.0;0.0
-1;3400;INTARIAN_PEPPER_ROOT;10997.0;11;10995.0;18;;;11009.0;11;11012.0;21;;;11003.0;0.0
-1;3500;ASH_COATED_OSMIUM;9985.0;9;;;;;10001.0;10;;;;;9993.0;0.0
-1;3500;INTARIAN_PEPPER_ROOT;10997.0;10;;;;;11010.0;10;11012.0;21;;;11003.5;0.0
-1;3600;ASH_COATED_OSMIUM;9985.0;7;9983.0;22;;;10001.0;9;10004.0;27;;;9993.0;0.0
-1;3600;INTARIAN_PEPPER_ROOT;10998.0;7;;;;;;;;;;;10998.0;0.0
-1;3700;ASH_COATED_OSMIUM;9985.0;12;9983.0;20;;;10001.0;14;10004.0;19;;;9993.0;0.0
-1;3700;INTARIAN_PEPPER_ROOT;10998.0;7;10995.0;21;;;11010.0;7;11012.0;19;;;11004.0;0.0
-1;3800;ASH_COATED_OSMIUM;9991.0;4;9985.0;8;9983.0;20;10004.0;17;;;;;9997.5;0.0
-1;3800;INTARIAN_PEPPER_ROOT;10998.0;9;;;;;11010.0;8;11013.0;16;;;11004.0;0.0
-1;3900;ASH_COATED_OSMIUM;9985.0;11;9983.0;19;;;10001.0;10;10004.0;17;;;9993.0;0.0
-1;3900;INTARIAN_PEPPER_ROOT;10998.0;7;10995.0;19;;;11010.0;8;11013.0;21;;;11004.0;0.0
-1;4000;ASH_COATED_OSMIUM;9986.0;12;9983.0;23;;;10004.0;25;;;;;9995.0;0.0
-1;4000;INTARIAN_PEPPER_ROOT;10998.0;8;10995.0;21;;;11010.0;10;;;;;11004.0;0.0
-1;4100;ASH_COATED_OSMIUM;9991.0;2;9983.0;20;;;10001.0;8;10004.0;20;;;9996.0;0.0
-1;4100;INTARIAN_PEPPER_ROOT;10998.0;7;10995.0;17;;;11010.0;5;;;;;11004.0;0.0
-1;4200;ASH_COATED_OSMIUM;9986.0;9;;;;;10002.0;6;10004.0;20;;;9994.0;0.0
-1;4200;INTARIAN_PEPPER_ROOT;10998.0;9;10995.0;15;;;11013.0;18;;;;;11005.5;0.0
-1;4300;ASH_COATED_OSMIUM;9986.0;10;;;;;10002.0;6;10004.0;21;;;9994.0;0.0
-1;4300;INTARIAN_PEPPER_ROOT;10998.0;10;10996.0;20;;;11010.0;11;11013.0;18;;;11004.0;0.0
-1;4400;ASH_COATED_OSMIUM;9986.0;9;9983.0;16;;;10002.0;8;10004.0;15;;;9994.0;0.0
-1;4400;INTARIAN_PEPPER_ROOT;10998.0;8;10996.0;17;;;11010.0;8;11013.0;17;;;11004.0;0.0
-1;4500;ASH_COATED_OSMIUM;;;;;;;10005.0;21;;;;;10005.0;0.0
-1;4500;INTARIAN_PEPPER_ROOT;10998.0;9;10996.0;11;;;11013.0;14;;;;;11005.5;0.0
-1;4600;ASH_COATED_OSMIUM;9986.0;12;;;;;10002.0;13;10004.0;17;;;9994.0;0.0
-1;4600;INTARIAN_PEPPER_ROOT;10996.0;17;;;;;11011.0;8;11013.0;16;;;11003.5;0.0
