rank,team_name,country,pnl_finale
1,Relativistic Quants,FR,107674
2,Centrale Alpha Fund,FR,106359
3,les bassemitos,FR,104267
4,The barn,FR,104250
5,Jinya,FR,103992
6,Vegasteroids,FR,103617
7,Paris,FR,103508
8,Licata Arbitrage,FR,102253
9,DataBreakers,FR,102196
10,Baptlarafale,FR,102154
11,sauce du chef,FR,101084
12,GSTD,FR,100994
13,lesBass,FR,99705
14,Panini Maker,FR,99704
15,Xogenous,FR,99650
16,I am Maximus,FR,99546
17,Utopia,FR,99489
18,Jawas,FR,99457
19,NullProfit,FR,99380
20,PnL maker,FR,99349
21,QuantFire,FR,99321
22,HEC,FR,99007
23,Polytraders,FR,98944
24,Lyon,FR,98935
25,JBAC Strategy Foundry,FR,98827
26,The Sharpe Squad,FR,98769
27,Les Deregleurs,FR,98686
28,Money Money Money,FR,98676
29,Korrigan Quant,FR,98606
30,Heheheha,FR,98544
31,FinCur,FR,98532
32,argmins,FR,98437
33,runwayalpha,FR,98341
34,Vatos Locos,FR,98237
35,FireBall,FR,98229
36,123Team,FR,98203
37,El Kouhen Capital,FR,98172
38,HilbertApostles,FR,98164
39,IMPERIA,FR,98136
40,ENSAI,FR,97853
41,Seine River Trading,FR,97750
42,Athena Systems,FR,97740
43,Bid ask sur ta baguette,FR,97738
44,SG Trading,FR,97545
45,CyTech-Essca-AlbertS,FR,97391
46,TMT TEAM,FR,97321
47,Les Tuzz,FR,97226
48,Quant Hill,FR,97052
49,Bart Technologies,FR,96989
50,Sol Invictus,FR,96989
51,Riskyteam,FR,96890
52,HAL,FR,96830
53,Overfit Champs,FR,96705
54,Aether,FR,96681
55,TSProsperity,FR,96642
56,Le_Kontinent,FR,96617
57,IMC zebi,FR,96523
58,Ad Alpha,FR,96474
59,Hack The Trade,FR,96419
60,Bigman,FR,96400
61,TradeX,FR,96274
62,Alpha42,FR,96268
63,BridgeQuant,FR,96115
64,Theta gang,FR,95987
65,Aurianelathugmdr,FR,95977
66,Bacon,FR,95903
67,Head of Vol and Hybride,FR,95538
68,FTX Capital,FR,95485
69,Palm Beach Team,FR,95432
70,Ariel,FR,95293
71,AlphaCheese,FR,95290
72,Fat Fingers,FR,95269
73,LMquant,FR,95234
74,It Worked On MNIST,FR,95099
75,StratoQuant,FR,94958
76,Amadeus,FR,94818
77,SIGMA_X,FR,94773
78,Ecole Centrale Lyon,FR,94746
79,Grim Patrons,FR,94728
80,WhalesOfParis,FR,94557
81,Our Team Name,FR,94205
82,BrasilX,FR,94111
83,Karman,FR,94076
84,Imperium,FR,93819
85,AllForOne,FR,93753
86,Amprentor,FR,93619
87,Blue Vanilla,FR,93491
88,internship_pls,FR,93316
89,ENSAE Finance Inv,FR,93140
90,Covariance Kings,FR,93010
91,PS5,FR,92647
92,LesBretons,FR,92584
93,EDHEC-UniCA,FR,92516
94,Timyyy,FR,92322
95,Bakou Capital,FR,92224
96,Vaneau,FR,92211
97,octavegg,FR,91900
98,WeshaLOre,FR,91711
99,Im_starvin,FR,91250
100,why_not,FR,91240
101,GamblingOnly,FR,91117
102,Artemis alpha,FR,91079
103,PnLCapital,FR,91020
104,Early PNL Makers,FR,90628
105,Infinite 88,FR,90205
106,Mecha Pilot,FR,90166
107,PCC,FR,89831
108,Wass,FR,89768
109,Vegatron,FR,89513
110,Interstellar Assets,FR,89187
111,Les Frero Delavega,FR,89016
112,Jojo team,FR,88530
113,Long 6 Short 7,FR,88386
114,Palm Beach Pete Team,FR,88323
115,Objectif Lune,FR,88213
116,ComeLabroyeCS,FR,88204
117,LunaForeva,FR,88018
118,Systematic_Alpha,FR,87867
119,Gravity Arbitrage,FR,87688
120,2B9S,FR,86842
121,Epicrew,FR,86796
122,Market Maxxing,FR,85510
123,NeuralDegenerates,FR,85196
124,MUNI,FR,85112
125,pepo,FR,85014
126,synapse,FR,84672
127,Finviders,FR,84487
128,TryingToWin,FR,83000
129,BX DIX,FR,82067
130,BKB Hayat ESILV,FR,81958
131,Croissant au beurre,FR,81920
132,oracle,FR,81900
133,graouuully,FR,81687
134,Houston We Have No PNL,FR,80914
135,Hyperprism,FR,80912
136,Discovering,FR,79872
137,ZenkoLab,FR,79560
138,FiachMney,FR,79495
139,Parisian Arbitrage,FR,79009
140,ETrading,FR,78756
141,AlphaSpace,FR,78463
142,Binence,FR,77339
143,Cheval de Troie,FR,77235
144,intergalactic,FR,76540
145,ECN,FR,75287
146,Skibidi Tentafruit,FR,71766
147,Palaiseau Paladins,FR,68961
148,Cosmic Money Maker,FR,67984
149,Alice,FR,63364
150,RLisOverrated,FR,62540
151,Croissant Capital,FR,62250
152,jeanjean,FR,61320
153,Evimeria3,FR,59209
154,Team Bras Casse,FR,59115
155,Aspiring Researchers,FR,59058
156,Team Crouton,FR,58902
157,Qui va aux rattrapages,FR,58590
158,All_in_crypto,FR,55343
159,CRS,FR,54352
160,1ce,FR,53278
161,FeatherSparkSpread,FR,52613
162,Apollo X,FR,52405
163,TT4,FR,51506
164,QAKE,FR,50293
165,Algerie,FR,49802
166,Ditrader517,FR,48767
167,Cortana,FR,46888
168,PnLMaker,FR,46689
169,bubulle,FR,45376
170,Les SanctoCentraliens,FR,44480
171,69laTrick,FR,41821
172,Bulls98,FR,37653
173,KS,FR,37624
174,SpaceTeam,FR,36289
175,Flc Lognang,FR,36073
176,InsaTrade,FR,35767
177,Mark-Killian,FR,33258
178,Pardaillan,FR,32919
179,Trading addicts,FR,32861
180,works_on_my_machine,FR,32017
181,EDHEC Feng,FR,31002
182,X1,FR,30921
183,NameTeam,FR,28760
184,Just Gambling,FR,28445
185,Cezanne,FR,28096
186,BraveMartien,FR,28096
187,Horus,FR,28096
188,Infinity_CS,FR,27531
189,MD600,FR,26932
190,Rampage,FR,24535
191,Event Horizon Capital,FR,23156
192,THE BREIZH TEAM,FR,22941
193,LAE,FR,21917
194,FinancIIE,FR,19828
195,PierreChartier_intern,FR,18050
196,Les Sorbonautes,FR,14801
197,all goods,FR,14790
198,Galois Poincare,FR,14198
199,les Ratz,FR,13705
200,LinuX Capital,FR,12761
201,Alpha Pulse,FR,10523
202,Gns,FR,9282
203,Afaq,FR,9217
204,Vol Tourists,FR,9048
205,Alpha2Dingue,FR,7491
206,croque scooby,FR,4407
207,Two pointers,FR,3667
208,ICantCode,FR,
