rank,team_name,country,pnl_finale
101,Tayaya Trading,BR,105484
102,PowderDays,AT,105458
103,Oracles of Delphi,US,105442
104,Meiji,GB,105440
105,Stop the Birds,AT,105347
106,Zextros,IN,105340
107,The Vega Games,AU,105305
108,GUDG,SE,105137
109,TTG,US,105111
110,A manger,GB,105105
111,JackOfHearts,AT,105083
112,Penn NewCLEAR,US,105077
113,The Mountain Goats,GB,105076
114,Geezers of the Galaxy,IE,104966
115,Berkeley x Stanford,US,104959
116,Mamba In,US,104945
117,Frankfurt_Hedgehawk,DE,104945
118,no,AU,104821
119,Kunts,IN,104765
120,Hyenas,IN,104698
121,Who is weady to wumble,AU,104695
122,X Liquidity Providers,IT,104654
123,Hermelijn,NL,104616
124,Whim,IN,104533
125,Pluto,DE,104448
126,yurtles,US,104317
127,les bassemitos,FR,104267
128,Starkl7,US,104260
129,The barn,FR,104250
130,Silence of the Lambdas,IT,104244
131,Peaky Minors,HK,104218
132,Tundra-wawa,AU,104207
133,ras,US,104186
134,Any Golfers,US,104181
135,kai,AU,104127
136,thehailmary,IN,104120
137,BUENO TRADERS,AE,104118
137,GOLowVol,GB,104118
138,USYD_No_1,AU,104095
139,Jinya,FR,103992
140,tudx,DE,103992
141,AvocadoToast,AU,103959
142,Kebab house,HK,103951
143,Team Jimmy,US,103926
144,MikeyTeam,CN,103903
145,Parallax 01,US,103889
146,ABC - Brown,PS,103880
147,Little Apple Legends,US,103878
148,pink fluffy dumplings,AU,103867
148,bonk,AU,103867
149,Pabs,DE,103825
150,Lagrange Multiplier,GB,103823
151,RT Gamma,GB,103804
152,Degen Traders,SG,103799
153,Im living my life,GB,103791
154,bugless,US,103731
155,Draguax,AU,103702
156,Serenissima Syndicate,IT,103699
157,crackedexplosion,AU,103691
157,Market Manipulators,AU,103691
158,Farming in Space,HK,103659
159,Praxis Prodigies,CA,103656
160,Too_Sigma,IN,103626
161,ChipiChipi ChapaChapa,IN,103621
162,Vegasteroids,FR,103617
163,Starmie,US,103606
164,ahhhhhhhhhhhhh,AU,103602
165,roorkeepelago,IN,103591
166,DECIDED,IN,103540
167,chatswood rsl enjoyers,AU,103529
168,Paris,FR,103508
169,Red Devils,US,103466
170,Dark Forest Hunter,US,103466
171,Helicopter Holding,NL,103446
172,Alpha Adventurers,GB,103443
173,Market Predators,SG,103414
174,J4offsuit,AT,103368
175,Patrick David,NZ,103343
176,Joomo,KR,103327
177,SNUCLS,KR,103317
178,Zolu,US,103291
179,Yale Penguin,US,103275
180,Crusoim,US,103264
181,Yellow Alpha,ES,103255
182,Cyg X-1,CH,103241
183,Almaty Lake Capital,HK,103169
184,Bottled Air,AU,103134
184,totally normal teamname,AU,103134
184,TouchingGrass,AU,103134
184,HappyFishies,AU,103134
184,HappyFishies2,AU,103134
184,HappyFishies3,AU,103134
185,Satisfactory,IN,103115
186,Gurren Lagann,NL,103111
187,the_alphamakers,CN,103080
188,Crispy Carp Capital,VN,103050
189,Blindsight,GB,103027
190,Outsiderss,GB,103008
191,SatoruGojo,CA,103003
192,Yumpy,US,102959
193,OuterTrojan,GB,102927
194,Escape Velocity,IN,102926
195,Sophisticated Sigmas,US,102907
196,Arthur y el resto,CL,102896
197,IceCreamnPie,AU,102885
198,GoBears,US,102866
199,Athena123,AU,102842
200,Interplanetary Invasion,AU,102799
201,Prosperous Team,IN,102788
202,AlphaStockGrookers,CH,102775
203,PLVS VLTRA,ES,102763
204,Zaremar,SE,102752
205,SufferingFromProsperity,IN,102724
206,Kerbonauts,CH,102722
207,404 Team Not Found,IN,102705
208,Jared,US,102699
209,Birans disciples,SK,102655
210,State Space Time,US,102601
211,Vienndiagram,AT,102586
212,TheDunningKrugerEffect,GB,102585
213,Plain N Spicy,NL,102577
214,StimulatedPlatypuses,US,102573
215,trader6767,IN,102556
216,MFAMSMC River Trading 2,US,102539
217,DU Team128319283,GB,102496
218,Curly Hair Gang,GB,102473
219,Dynamic survival,AU,102441
219,TimTamStudySlam,AU,102441
219,_idk,AU,102441
219,My_Planet1,AU,102441
219,My_Planet2,CN,102441
219,My_Planet3,HK,102441
219,Neptunium9301,AU,102441
219,Panda Two,AU,102441
219,Athena12345,AU,102441
219,LYC,AU,102441
219,Np93,AU,102441
220,W_W,AT,102429
221,Siuuuuu,IN,102396
222,I love Claude,US,102390
223,low cortisol traders,GB,102350
224,Unhedged but Optimistic,NL,102348
225,Paddi,DE,102346
226,SydneyTrainsIsGoodTrust,AU,102307
227,Seattle Spread Hawks,AU,102290
228,Licata Arbitrage,FR,102253
229,Eulers_Tour,IN,102249
230,all_in_on_black_n_gold,US,102231
231,BigMoneyStonks,AT,102231
232,073,NL,102205
233,The Duck Trader,US,102197
234,DataBreakers,FR,102196
235,ColumbiaU Traders,US,102179
236,Baptlarafale,FR,102154
237,garchlovers,GB,102143
238,Naser Alsayegh,BH,102138
239,polite_monkey,IN,102130
240,Buy_low_sell_high,IN,102123
241,HKUSTSomethingSomething,HK,102101
242,ITERATIVE BYTES,IN,102098
243,IndependentQuant,NL,102097
244,Solo Yolo Bolo Trolo,DE,102097
245,Sheep of Wall Street,US,102086
