rank,team_name,country,pnl_finale
1,yuh,AU,125850
2,Negative Eevee,NL,123244
3,Vibing,AU,121846
4,Seven Deuce Capital,US,120286
5,DU Trading,GB,120211
6,DU Market Makers,GB,119541
7,The Big Posteriors,US,119381
8,DU Quant,GB,119315
9,Une Baguette Fromage,NL,119313
10,DU Trading Desk,GB,119291
11,optieverhandelaaren,US,118587
12,Flowstate,US,118196
13,Prosperity Crushers,AU,117797
14,broke like joc,AU,117733
15,Hexatech,GB,117624
16,prosperity 3 man,AU,117591
17,DU Market Making,GB,117539
18,glou,GB,117372
19,ShrimpTrading,PL,117352
20,72 Sigma,US,117289
21,63-bit integers,AU,116927
22,Exodia,CA,116856
23,DannyNegru,IN,116684
24,nema problema ovde,RS,116401
25,porridge,US,116131
26,Arcadia 2,IT,116000
27,Open for Quant Jobs,CH,115865
28,BASTION,AU,115423
29,John Slope,US,115248
30,gacrux,AU,115104
31,final position 10 at 15,AU,115078
32,Junk Trading,CN,114823
33,Algoholicz,IN,114526
34,BlackSouls,IN,114244
35,fenn,US,114040
36,CCC_v2,US,113840
37,Jaded,US,113743
38,CarbonBlack,IN,112985
39,Infinity Stones,IN,112945
40,HireMePLSSSSSSSSSSSSSSS,SG,112615
41,cRashCrafters,DE,112393
42,Gorlock,IN,112164
43,Myname,IN,112141
44,second_best,US,112043
45,Space Monkeys,IN,111710
46,Cosmic Latte,IN,111709
47,Alien,DE,111540
48,Euporia,US,111434
49,Proton,AU,111411
50,drunken noodles,US,111280
51,abacus,US,111218
52,TUMorrow Traders,DE,110945
53,Beauty Hunters,CH,110849
54,DCJ9,US,110677
55,Poverty,IN,110675
56,TatooineTraders,CH,110517
57,Yin,HK,110468
58,Meiji Restoration,AU,110381
59,ICT Mogged,AU,110377
60,WanderingTraders,AT,110180
61,HATSK,US,110040
62,BelmonteHunters,CH,109917
63,Caustic Orbifold,PH,109904
64,kumon,ID,109772
65,CUATS 2,GB,109705
66,1112233,TW,109531
67,test1,GB,109403
68,Solarflare,DE,109114
69,Vega,ES,108696
70,Uvic lions,CA,108404
71,Waterloo Courtsiders,CA,108279
72,Alphito,ES,108270
73,unknownpophaha,AU,108205
74,AgentLab,CN,108140
75,Keble Kwants,GB,108090
76,The Silence of Lambdas,IT,108025
77,Relativistic Quants,FR,107674
78,Twisted Minds,IN,107580
79,Jane Avenue,US,107476
80,Margin Call Mafia,IN,107431
81,PMQuants,PT,107281
82,Secret Sauce,US,107191
83,dih,GB,106951
84,QRG,US,106836
85,RealCityScape,DK,106774
86,BrainTeam,AU,106769
87,bear,US,106529
88,XIREC Collectors,CO,106460
89,Centrale Alpha Fund,FR,106359
90,Roots Ocean Prime,CN,106243
91,OntarioStreet700,HK,106058
92,Gautam,US,106039
93,Dream Team,US,106013
94,psrbot,AU,105939
95,Alpha Search Team,GB,105897
96,Rocky Mountain Goats,IN,105692
97,Qu4nt D3stroy3rs,US,105611
98,derMiro,HR,105590
99,team team team,GB,105586
100,The Arbitrage Goats,US,105551
